msgid,openatv,openhdf,openpli,openvix,APPEARANCES,UNIQUES,DUPLICATES,EMPTIES
A record has been started:\n%s,,,เริ่มบันทึกรายการ:\n%s,,1,1,0,0
A recording is currently running.\nWhat do you want to do?,กำลังบันทึกรายการอยู่\nท่านต้องการที่จะทำอะไร?,กำลังบันทึกรายการอยู่\nท่านต้องการที่จะทำอะไร?,กำลังบันทึกรายการอยู่\nท่านต้องการที่จะทำอะไร?,,3,1,2,0
A required tool (%s) was not found.,ไม่พบเครื่องมือที่ต้องใช้ (%s),ไม่พบเครื่องมือที่ต้องใช้ (%s),ไม่พบเครื่องมือที่ต้องใช้ (%s),ไม่พบเครื่องมือที่ต้องใช้ (%s),4,1,3,0
A small overview of the available icon states and actions.,ไอคอนแสดงสถานะและการทำงานต่างๆ,ไอคอนแสดงสถานะและการทำงานต่างๆ,ไอคอนแสดงสถานะและการทำงานต่างๆ,ไอคอนแสดงสถานะและการทำงานต่างๆ,4,1,3,0
A timer failed to record!\nDisable TV and try again?\n,ไม่สามารถบันทึกรายการได้\nต้องการยกเลิกรายการโทรทัศน์แล้วลองอีกครั้งหรือไม่?\n,ไม่สามารถบันทึกรายการได้\nต้องการยกเลิกรายการโทรทัศน์แล้วลองอีกครั้งหรือไม่?\n,ไม่สามารถบันทึกรายการได้\nต้องการยกเลิกรายการโทรทัศน์แล้วลองอีกครั้งหรือไม่?\n,ไม่สามารถบันทึกรายการได้\nต้องการยกเลิกรายการโทรทัศน์แล้วลองอีกครั้งหรือไม่?\n,4,1,3,0
Abort,ยกเลิก,ยกเลิก,ยกเลิก,ยกเลิก,4,1,3,0
Abort alternatives edit,,,ยกเลิกการแก้ไขอื่น,,1,1,0,0
Abort bouquet edit,,,ยกเลิกการแก้ไขกลุ่มรายการ,,1,1,0,0
Abort favourites edit,,,ยกเลิกการแก้ไขรายการโปรด,,1,1,0,0
About,เกี่ยวกับ,เกี่ยวกับ,เกี่ยวกับ,เกี่ยวกับ,4,1,3,0
Accesspoint:,,'','','',3,0,0,3
Activate Picture in Picture,ภาพซ้อนภาพ,ภาพซ้อนภาพ,ภาพซ้อนภาพ,ภาพซ้อนภาพ,4,1,3,0
Activate network settings,ตั้งค่าเครือข่าย,ตั้งค่าเครือข่าย,ตั้งค่าเครือข่าย,ตั้งค่าเครือข่าย,4,1,3,0
Adapter settings,ตั้งค่าอะแด๊ปเตอร์,ตั้งค่าอะแด๊ปเตอร์,ตั้งค่าอะแด๊ปเตอร์,ตั้งค่าอะแด๊ปเตอร์,4,1,3,0
Add,เพิ่ม,เพิ่ม,เพิ่ม,เพิ่ม,4,1,3,0
Add a mark,เพิ่มจุด,เพิ่มจุด,เพิ่มจุด,เพิ่มจุด,4,1,3,0
Add a new title,เพิ่มเรื่องใหม่,เพิ่มเรื่องใหม่,เพิ่มเรื่องใหม่,เพิ่มเรื่องใหม่,4,1,3,0
Add alternatives,,,เพิ่มทางเลือกอื่น,,1,1,0,0
Add bouquet,,,เพิ่มกลุ่มรายการ,,1,1,0,0
Add marker,,,เพิ่มจุดทำเครื่องหมาย,,1,1,0,0
Add service to bouquet,,,เพิ่มบริการเข้าสู่กลุ่มรายการ,,1,1,0,0
Add service to favourites,,,เพิ่มบริการเข้าสู่รายการโปรด,,1,1,0,0
Add timer,เพิ่มลงตารางเวลา,เพิ่มลงตารางเวลา,เพิ่มลงตารางเวลา,เพิ่มลงตารางเวลา,4,1,3,0
Add title,เพิ่มเรื่อง,เพิ่มเรื่อง,เพิ่มเรื่อง,เพิ่มเรื่อง,4,1,3,0
Add to bouquet,,เพิ่มเข้ากลุ่ม (Bouquet),เพิ่มเข้ากลุ่ม (Bouquet),เพิ่มเข้ากลุ่ม (Bouquet),3,1,2,0
Add to favourites,,เพิ่มเข้ารายการโปรด (Favourites),เพิ่มเข้ารายการโปรด (Favourites),เพิ่มเข้ารายการโปรด (Favourites),3,1,2,0
Add to parental protection,,,เพิ่มรายการเข้าสู่กลุ่มจำกัดอายุ,,1,1,0,0
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.",ตั้งค่าสีเพื่อแสดงความต่างของสี แต่ยังคงมีความอิ่มตัวอยู่ ถ้าพอใจกับการตั้งค่านี้ให้กดปุ่ม OK เพื่อออกจากตั้งค่าหรือกดปุ่มตัวเลขเพื่อตั้งค่าส่วนอื่นๆ ของหน้าจอ,ตั้งค่าสีเพื่อแสดงความต่างของสี แต่ยังคงมีความอิ่มตัวอยู่ ถ้าพอใจกับการตั้งค่านี้ให้กดปุ่ม OK เพื่อออกจากตั้งค่าหรือกดปุ่มตัวเลขเพื่อตั้งค่าส่วนอื่นๆ ของหน้าจอ,ตั้งค่าสีเพื่อแสดงความต่างของสี แต่ยังคงมีความอิ่มตัวอยู่ ถ้าพอใจกับการตั้งค่านี้ให้กดปุ่ม OK เพื่อออกจากตั้งค่าหรือกดปุ่มตัวเลขเพื่อตั้งค่าส่วนอื่นๆ ของหน้าจอ,ตั้งค่าสีเพื่อแสดงความต่างของสี แต่ยังคงมีความอิ่มตัวอยู่ ถ้าพอใจกับการตั้งค่านี้ให้กดปุ่ม OK เพื่อออกจากตั้งค่าหรือกดปุ่มตัวเลขเพื่อตั้งค่าส่วนอื่นๆ ของหน้าจอ,4,1,3,0
Advanced options and settings.,,,ตั้งค่าขั้นสูง,,1,1,0,0
Advanced restore,นำข้อมูลกลับมาใช้แบบขั้นสูง,นำข้อมูลกลับมาใช้แบบขั้นสูง,นำข้อมูลกลับมาใช้แบบขั้นสูง,นำข้อมูลกลับมาใช้แบบขั้นสูง,4,1,3,0
After event,หลังจากจบรายการ,หลังจากจบรายการ,หลังจากจบรายการ,หลังจากจบรายการ,4,1,3,0
Album,อัลบัม,อัลบัม,อัลบัม,อัลบัม,4,1,3,0
All,ทั้งหมด,ทั้งหมด,ทั้งหมด,ทั้งหมด,4,1,3,0
Alpha,อัลฟ่า,อัลฟ่า,อัลฟ่า,อัลฟ่า,4,1,3,0
Alternative services tuner priority,ลำดับของ Tuner เพื่อใช้งาน,ลำดับของ Tuner เพื่อใช้งาน,ลำดับของ Tuner เพื่อใช้งาน,ลำดับของ Tuner เพื่อใช้งาน,4,1,3,0
An empty filename is illegal.,ชื่อไฟล์ห้ามเป็นช่องว่าง,ชื่อไฟล์ห้ามเป็นช่องว่าง,ชื่อไฟล์ห้ามเป็นช่องว่าง,ชื่อไฟล์ห้ามเป็นช่องว่าง,4,1,3,0
An unknown error occurred!,,,เกิดข้อผิดพลาดขึ้น!,,1,1,0,0
Arabic,ภาษาอาหรับ,ภาษาอาหรับ,ภาษาอาหรับ,ภาษาอาหรับ,4,1,3,0
Are you sure you want to activate this network configuration?\n\n,ท่านจะให้ค่าเครื่อข่ายที่ตั้งใหม่ทำงานหรือไม่\n\n,ท่านจะให้ค่าเครื่อข่ายที่ตั้งใหม่ทำงานหรือไม่\n\n,ท่านจะให้ค่าเครื่อข่ายที่ตั้งใหม่ทำงานหรือไม่\n\n,ท่านจะให้ค่าเครื่อข่ายที่ตั้งใหม่ทำงานหรือไม่\n\n,4,1,3,0
Are you sure you want to exit this wizard?,ท่านต้องการที่ออกจากตัวช่วยหรือไม่?,ท่านต้องการที่ออกจากตัวช่วยหรือไม่?,ท่านต้องการที่ออกจากตัวช่วยหรือไม่?,ท่านต้องการที่ออกจากตัวช่วยหรือไม่?,4,1,3,0
Are you sure you want to restart your network interfaces?\n\n,ท่านจะให้ระบบเครือข่ายเริ่มทำงานใหม่หรือไม่?\n\n,ท่านจะให้ระบบเครือข่ายเริ่มทำงานใหม่หรือไม่?\n\n,ท่านจะให้ระบบเครือข่ายเริ่มทำงานใหม่หรือไม่?\n\n,ท่านจะให้ระบบเครือข่ายเริ่มทำงานใหม่หรือไม่?\n\n,4,1,3,0
Artist,ศิลปิน,ศิลปิน,ศิลปิน,ศิลปิน,4,1,3,0
Ask user,ถามผู้ใช้,ถามผู้ใช้,ถามผู้ใช้,ถามผู้ใช้,4,1,3,0
Audio,,,เสียง,,1,1,0,0
Author: ,ผู้แต่ง: ,ผู้แต่ง: ,ผู้แต่ง: ,ผู้แต่ง: ,4,1,3,0
Authoring mode,โหมดแต่ง,โหมดแต่ง,โหมดแต่ง,โหมดแต่ง,4,1,3,0
Auto,อัตโนมัติ,อัตโนมัติ,อัตโนมัติ,อัตโนมัติ,4,1,3,0
Auto chapter split every ? minutes (0=never),แยกเป็นตอนๆ ในทุกๆ กี่ ? นาที (0=ไม่แยก),แยกเป็นตอนๆ ในทุกๆ กี่ ? นาที (0=ไม่แยก),แยกเป็นตอนๆ ในทุกๆ กี่ ? นาที (0=ไม่แยก),แยกเป็นตอนๆ ในทุกๆ กี่ ? นาที (0=ไม่แยก),4,1,3,0
Auto flesh,ปรับอัตโนมัติ,ปรับอัตโนมัติ,ปรับอัตโนมัติ,ปรับอัตโนมัติ,4,1,3,0
Auto scart switching,เปลี่ยน scart อัตโนมัติ,เปลี่ยน scart อัตโนมัติ,เปลี่ยน scart อัตโนมัติ,เปลี่ยน scart อัตโนมัติ,4,1,3,0
Automatic,อัตโนมัติ,อัตโนมัติ,อัตโนมัติ,อัตโนมัติ,4,1,3,0
Available format variables,รูปแบบที่ใช้งานได้,รูปแบบที่ใช้งานได้,รูปแบบที่ใช้งานได้,รูปแบบที่ใช้งานได้,4,1,3,0
B,,'','','',3,0,0,3
BER,,,'',,1,0,0,1
BER:,,,'',,1,0,0,1
Back,ย้อนกลับ,ย้อนกลับ,ย้อนกลับ,ย้อนกลับ,4,1,3,0
Background,ฉากหลัง,ฉากหลัง,ฉากหลัง,ฉากหลัง,4,1,3,0
Backup failed.,สำรองข้อมูลล้มเหลว,สำรองข้อมูลล้มเหลว,สำรองข้อมูลล้มเหลว,สำรองข้อมูลล้มเหลว,4,1,3,0
Backup is running...,กำลังสำรองข้อมูล...,กำลังสำรองข้อมูล...,กำลังสำรองข้อมูล...,กำลังสำรองข้อมูล...,4,1,3,0
Backup system settings,ตั้งค่าสำรองข้อมูลระบบ,ตั้งค่าสำรองข้อมูลระบบ,ตั้งค่าสำรองข้อมูลระบบ,ตั้งค่าสำรองข้อมูลระบบ,4,1,3,0
Band,แถบ,แถบ,แถบ,แถบ,4,1,3,0
Bandwidth,แบนด์วิดธ์,แบนด์วิดธ์,แบนด์วิดธ์,แบนด์วิดธ์,4,1,3,0
Begin time,เวลาเริ่ม,เวลาเริ่ม,เวลาเริ่ม,เวลาเริ่ม,4,1,3,0
Behavior of '0' button in PiP mode,,,เมื่อกด 0 ใน PiP ให้,,1,1,0,0
Behavior when a movie is started,เมื่อภาพยนต์เริ่มเล่นให้,เมื่อภาพยนต์เริ่มเล่นให้,เมื่อภาพยนต์เริ่มเล่นให้,เมื่อภาพยนต์เริ่มเล่นให้,4,1,3,0
Behavior when a movie is stopped,เมื่อภาพยนต์หยุดเล่นให้,เมื่อภาพยนต์หยุดเล่นให้,เมื่อภาพยนต์หยุดเล่นให้,เมื่อภาพยนต์หยุดเล่นให้,4,1,3,0
Behavior when a movie reaches the end,เมื่อเมื่อภาพยนต์จบ ให้,เมื่อเมื่อภาพยนต์จบ ให้,เมื่อเมื่อภาพยนต์จบ ให้,เมื่อเมื่อภาพยนต์จบ ให้,4,1,3,0
Bitrate:,บิทเรท:,บิทเรท:,บิทเรท:,บิทเรท:,4,1,3,0
Block noise reduction,,'','','',3,0,0,3
Bookmarks,บุ๊คมาร์ค,บุ๊คมาร์ค,บุ๊คมาร์ค,บุ๊คมาร์ค,4,1,3,0
Brightness,ความสว่าง,ความสว่าง,ความสว่าง,ความสว่าง,4,1,3,0
Burn DVD,เขียนแผ่นดีวีดี,เขียนแผ่นดีวีดี,เขียนแผ่นดีวีดี,เขียนแผ่นดีวีดี,4,1,3,0
Burn existing image to DVD,,เขียนอิมเมจลงแผ่นดีวีดี,เขียนอิมเมจลงแผ่นดีวีดี,เขียนอิมเมจลงแผ่นดีวีดี,3,1,2,0
Bus: ,,'','','',3,0,0,3
C,,,'',,1,0,0,1
C-Band,,'','','',3,0,0,3
CI assignment,,'','','',3,0,0,3
CVBS,,'','','',3,0,0,3
Cable,เคเบิ้ล,เคเบิ้ล,เคเบิ้ล,เคเบิ้ล,4,1,3,0
Cancel,ยกเลิก,ยกเลิก,ยกเลิก,ยกเลิก,4,1,3,0
Capacity: ,ความจุ:,ความจุ:,ความจุ:,ความจุ:,4,1,3,0
Card,,,การ์ด,,1,1,0,0
Change bouquets in quickzap,เปลี่ยนกลุ่มรายการเมื่อย้ายช่อง,เปลี่ยนกลุ่มรายการเมื่อย้ายช่อง,เปลี่ยนกลุ่มรายการเมื่อย้ายช่อง,เปลี่ยนกลุ่มรายการเมื่อย้ายช่อง,4,1,3,0
Change step size,เปลี่ยน Step,เปลี่ยน Step,เปลี่ยน Step,เปลี่ยน Step,4,1,3,0
Channel,ช่อง,ช่อง,ช่อง,ช่อง,4,1,3,0
Channel not in services list,ช่องนี้ไม่มีการให้บริการ,ช่องนี้ไม่มีการให้บริการ,ช่องนี้ไม่มีการให้บริการ,ช่องนี้ไม่มีการให้บริการ,4,1,3,0
Channel:,ช่องรายการ:,ช่องรายการ:,ช่องรายการ:,ช่องรายการ:,4,1,3,0
Channellist menu,,,เมนูช่องรายการ,,1,1,0,0
Chap.,ตอน,ตอน,ตอน,ตอน,4,1,3,0
Chapter,ตอนที่,ตอนที่,ตอนที่,ตอนที่,4,1,3,0
Chapter:,ตอนที่:,ตอนที่:,ตอนที่:,ตอนที่:,4,1,3,0
Check,ตรวจสอบ,ตรวจสอบ,ตรวจสอบ,ตรวจสอบ,4,1,3,0
Circular left,วนซ้าย,วนซ้าย,วนซ้าย,วนซ้าย,4,1,3,0
Circular right,วนขวา,วนขวา,วนขวา,วนขวา,4,1,3,0
Cleanup,,'','','',3,0,0,3
Clear before scan,ลบข้อมูลเดิมก่อนค้นหา,ลบข้อมูลเดิมก่อนค้นหา,ลบข้อมูลเดิมก่อนค้นหา,ลบข้อมูลเดิมก่อนค้นหา,4,1,3,0
Clear log,,'','','',3,0,0,3
Close,ปิด,ปิด,ปิด,ปิด,4,1,3,0
Close title selection,ปิดหน้าเลือกชื่อเรื่อง,ปิดหน้าเลือกชื่อเรื่อง,ปิดหน้าเลือกชื่อเรื่อง,ปิดหน้าเลือกชื่อเรื่อง,4,1,3,0
Collection name,ชื่อคอลเลคชั่น,ชื่อคอลเลคชั่น,ชื่อคอลเลคชั่น,ชื่อคอลเลคชั่น,4,1,3,0
Collection settings,ตั้งค่าคอลเลคชั่น,ตั้งค่าคอลเลคชั่น,ตั้งค่าคอลเลคชั่น,ตั้งค่าคอลเลคชั่น,4,1,3,0
Command execution...,,,กำลังทำตามสั่ง...,,1,1,0,0
Command order,เรียงลำดับคำสั่ง,เรียงลำดับคำสั่ง,เรียงลำดับคำสั่ง,เรียงลำดับคำสั่ง,4,1,3,0
Common Interface,อินเตอร์เฟซพื้นฐาน,อินเตอร์เฟซพื้นฐาน,อินเตอร์เฟซพื้นฐาน,อินเตอร์เฟซพื้นฐาน,4,1,3,0
Communication,ติดต่อสื่อสาร,ติดต่อสื่อสาร,ติดต่อสื่อสาร,ติดต่อสื่อสาร,4,1,3,0
Complete,สำเร็จ,สำเร็จ,สำเร็จ,สำเร็จ,4,1,3,0
Complex (allows mixing audio tracks and aspects),ซับซ้อน (ยอมให้มีเสียงและสัดส่วนภาพที่หลากหลาย),ซับซ้อน (ยอมให้มีเสียงและสัดส่วนภาพที่หลากหลาย),ซับซ้อน (ยอมให้มีเสียงและสัดส่วนภาพที่หลากหลาย),ซับซ้อน (ยอมให้มีเสียงและสัดส่วนภาพที่หลากหลาย),4,1,3,0
Configure interface,ตั้งค่าอินเตอร์เฟซ,ตั้งค่าอินเตอร์เฟซ,ตั้งค่าอินเตอร์เฟซ,ตั้งค่าอินเตอร์เฟซ,4,1,3,0
Configure nameservers,ตั้งค่า Nameservers,ตั้งค่า Nameservers,ตั้งค่า Nameservers,ตั้งค่า Nameservers,4,1,3,0
Configure your internal LAN,ตั้งค่าการ์แลนในเครื่อง,ตั้งค่าการ์แลนในเครื่อง,ตั้งค่าการ์แลนในเครื่อง,ตั้งค่าการ์แลนในเครื่อง,4,1,3,0
Configure your network again,ตั้งเครือข่ายอีกครั้ง,ตั้งเครือข่ายอีกครั้ง,ตั้งเครือข่ายอีกครั้ง,ตั้งเครือข่ายอีกครั้ง,4,1,3,0
Configure your wireless LAN again,ตั้งค่าเครือข่ายไร้สายอีกครั้ง,ตั้งค่าเครือข่ายไร้สายอีกครั้ง,ตั้งค่าเครือข่ายไร้สายอีกครั้ง,ตั้งค่าเครือข่ายไร้สายอีกครั้ง,4,1,3,0
Configuring,กำลังตั้งค่า,กำลังตั้งค่า,กำลังตั้งค่า,กำลังตั้งค่า,4,1,3,0
Connect,เชื่อมต่อ,เชื่อมต่อ,เชื่อมต่อ,เชื่อมต่อ,4,1,3,0
Connected to,เชื่อมต่อแล้วกับ,เชื่อมต่อแล้วกับ,เชื่อมต่อแล้วกับ,เชื่อมต่อแล้วกับ,4,1,3,0
Content does not fit on DVD!,เนื้อหาเกินความจุแผ่นดีวีดี,เนื้อหาเกินความจุแผ่นดีวีดี,เนื้อหาเกินความจุแผ่นดีวีดี,เนื้อหาเกินความจุแผ่นดีวีดี,4,1,3,0
Continue,ทำต่อ,ทำต่อ,ทำต่อ,ทำต่อ,4,1,3,0
Continue playing,เล่นต่อเนื่อง,เล่นต่อเนื่อง,เล่นต่อเนื่อง,เล่นต่อเนื่อง,4,1,3,0
Contrast,ความเข้ม,ความเข้ม,ความเข้ม,ความเข้ม,4,1,3,0
Copy to bouquets,,,คัดลอกเข้าสู่กลุ่มรายการ,,1,1,0,0
Create DVD-ISO,สร้างแผ่นดีวีดีแบบ ISO,สร้างแผ่นดีวีดีแบบ ISO,สร้างแผ่นดีวีดีแบบ ISO,สร้างแผ่นดีวีดีแบบ ISO,4,1,3,0
Create directory,,,สร้างโฟล์เดอร์,,1,1,0,0
Creating directory %s failed.,ไม่สามารถสร้างโฟลเดอร์ %s ได้,ไม่สามารถสร้างโฟลเดอร์ %s ได้,ไม่สามารถสร้างโฟลเดอร์ %s ได้,ไม่สามารถสร้างโฟลเดอร์ %s ได้,4,1,3,0
Croatian,ภาษาโคเอเชีย,ภาษาโคเอเชีย,ภาษาโคเอเชีย,ภาษาโคเอเชีย,4,1,3,0
Current settings:,ตั้งค่าปัจจุบัน:,ตั้งค่าปัจจุบัน:,ตั้งค่าปัจจุบัน:,ตั้งค่าปัจจุบัน:,4,1,3,0
Current value: ,ค่าปัจจุบัน:,ค่าปัจจุบัน:,ค่าปัจจุบัน:,ค่าปัจจุบัน:,4,1,3,0
Customize,ปรับแต่ง,ปรับแต่ง,ปรับแต่ง,,3,1,2,0
Cut,ตัด,ตัด,ตัด,ตัด,4,1,3,0
Cutlist editor...,ตัดต่อรายการ...,ตัดต่อรายการ...,ตัดต่อรายการ...,ตัดต่อรายการ...,4,1,3,0
Czech,ภาษาเชค,ภาษาเชค,ภาษาเชค,ภาษาเชค,4,1,3,0
D,,,'',,1,0,0,1
DHCP,,'','','',3,0,0,3
DVB-S,,'','','',3,0,0,3
DVB-S2,,'','','',3,0,0,3
DVD media toolbox,,เครื่องมือจัดการดีวีดี,เครื่องมือจัดการดีวีดี,เครื่องมือจัดการดีวีดี,3,1,2,0
Danish,ภาษาเดนมาร์ก,ภาษาเดนมาร์ก,ภาษาเดนมาร์ก,ภาษาเดนมาร์ก,4,1,3,0
Date,วันที่,วันที่,วันที่,วันที่,4,1,3,0
Default,ค่าเริ่มต้น,ค่าเริ่มต้น,ค่าเริ่มต้น,ค่าเริ่มต้น,4,1,3,0
Delete,ลบ,ลบ,ลบ,ลบ,4,1,3,0
Delete entry,ลบรายการ,ลบรายการ,ลบรายการ,ลบรายการ,4,1,3,0
Delete failed!,ลบไม่ได้!,ลบไม่ได้!,ลบไม่ได้!,ลบไม่ได้!,4,1,3,0
Description,รายละเอียด,รายละเอียด,รายละเอียด,รายละเอียด,4,1,3,0
Deselect,ไม่เลือก,ไม่เลือก,ไม่เลือก,ไม่เลือก,4,1,3,0
Detected HDD:,,,ฮาร์ดไดรฟ์ที่พบ:,,1,1,0,0
Detected NIMs:,NIMs ที่พบ:,NIMs ที่พบ:,NIMs ที่พบ:,,3,1,2,0
DiSEqC,,'','','',3,0,0,3
DiSEqC A/B,,'','','',3,0,0,3
DiSEqC A/B/C/D,,'','','',3,0,0,3
DiSEqC mode,,'','','',3,0,0,3
Digital contour removal,,'','','',3,0,0,3
Direct playback of linked titles without menu,เล่นทันที ไม่ต้องแสดงเมนู,เล่นทันที ไม่ต้องแสดงเมนู,เล่นทันที ไม่ต้องแสดงเมนู,เล่นทันที ไม่ต้องแสดงเมนู,4,1,3,0
Directory browser,ดูโฟล์เดอร์,ดูโฟล์เดอร์,ดูโฟล์เดอร์,ดูโฟล์เดอร์,4,1,3,0
Disable,ไม่ใช้งาน,ไม่ใช้งาน,ไม่ใช้งาน,ไม่ใช้งาน,4,1,3,0
Disable Picture in Picture,ไม่ใช้งานภาพซ้อนภาพ,ไม่ใช้งานภาพซ้อนภาพ,ไม่ใช้งานภาพซ้อนภาพ,ไม่ใช้งานภาพซ้อนภาพ,4,1,3,0
Disable move mode,,,เลิกโหมดเคลื่อนย้าย,,1,1,0,0
Disabled,ไม่ใช้งาน,ไม่ใช้งาน,ไม่ใช้งาน,ไม่ใช้งาน,4,1,3,0
Display 16:9 content as,แสดงรายการ 16:9 แบบ,แสดงรายการ 16:9 แบบ,แสดงรายการ 16:9 แบบ,แสดงรายการ 16:9 แบบ,4,1,3,0
Display 4:3 content as,แสดงรายการ 4:3 แบบ,แสดงรายการ 4:3 แบบ,แสดงรายการ 4:3 แบบ,แสดงรายการ 4:3 แบบ,4,1,3,0
Display >16:9 content as,แสดงรายการ >16:9 แบบ,แสดงรายการ >16:9 แบบ,แสดงรายการ >16:9 แบบ,แสดงรายการ >16:9 แบบ,4,1,3,0
Do you really want to check the filesystem?\nThis could take lots of time!,,,ท่านแน่ใจหรือไม่ที่จะตรวจสอบระบบไฟล์?\nเนื่องจากจะใช้เวลานานมากกว่าจะแล้วเสร็จ!,,1,1,0,0
Do you really want to delete %s?,ท่านต้องการที่จะลบ %s ออกจากระบบหรือไม่?,ท่านต้องการที่จะลบ %s ออกจากระบบหรือไม่?,ท่านต้องการที่จะลบ %s ออกจากระบบหรือไม่?,ท่านต้องการที่จะลบ %s ออกจากระบบหรือไม่?,4,1,3,0
"Do you really want to download\nthe plugin \""%s\""?",,,"ท่านต้องการที่จะโหลด\nPlugin \""%s\"" นี้หรือไม่?",,1,1,0,0
Do you really want to remove directory %s from the disk?,ท่านต้องการที่จะลบโฟล์เดอร์ %s ออกจากระบบหรือไม่?,ท่านต้องการที่จะลบโฟล์เดอร์ %s ออกจากระบบหรือไม่?,ท่านต้องการที่จะลบโฟล์เดอร์ %s ออกจากระบบหรือไม่?,ท่านต้องการที่จะลบโฟล์เดอร์ %s ออกจากระบบหรือไม่?,4,1,3,0
Do you really want to remove your bookmark of %s?,ท่านต้องการที่ลบบุ๊คมาร์ค %s ออกไปหรือไม่?,ท่านต้องการที่ลบบุ๊คมาร์ค %s ออกไปหรือไม่?,ท่านต้องการที่ลบบุ๊คมาร์ค %s ออกไปหรือไม่?,ท่านต้องการที่ลบบุ๊คมาร์ค %s ออกไปหรือไม่?,4,1,3,0
Do you want to burn this collection to DVD medium?,ท่านต้องการที่จะเขียนคอลเล็คชั่นนี้ลงแผ่นดีวีดีหรือไม่?,ท่านต้องการที่จะเขียนคอลเล็คชั่นนี้ลงแผ่นดีวีดีหรือไม่?,ท่านต้องการที่จะเขียนคอลเล็คชั่นนี้ลงแผ่นดีวีดีหรือไม่?,ท่านต้องการที่จะเขียนคอลเล็คชั่นนี้ลงแผ่นดีวีดีหรือไม่?,4,1,3,0
