msgid,openatv,openhdf,openpli,openvix,STATUS
Background delete speed,'',,'',,EMPTY (SOME)
Backing up to: %s,,,'',,SOLITARY
Backup completed.,'',,'',,EMPTY (SOME)
Backup failed.,備份失敗!!,,備份失敗!!,,CONSISTENT (SOME)
Backup is running...,備份正在運行...,,備份正在運行...,,CONSISTENT (SOME)
Backup system settings,備份系統設定,,備份系統設定,,CONSISTENT (SOME)
Backup your receiver settings.,,,'',,SOLITARY
Bahamas,'',,'',,EMPTY (SOME)
Band,自動,,自動,,CONSISTENT (SOME)
Bandwidth,帶寬,,帶寬,,CONSISTENT (SOME)
Bangladesh,'',,'',,EMPTY (SOME)
Barbados,'',,'',,EMPTY (SOME)
Basic PID info,,,'',,SOLITARY
Basque,'',,'',,EMPTY (SOME)
Begin time,開始時間,,開始時間,,CONSISTENT (SOME)
Behavior of '0' button in PiP mode,,,按 0 鍵啟用畫中畫模式,,SOLITARY
Behavior of 'pause and ok' when paused,,,'',,SOLITARY
Behavior when a movie is started,當電影開始時,,當電影開始時,,CONSISTENT (SOME)
Behavior when a movie is stopped,當電影結束時,,當電影結束時,,CONSISTENT (SOME)
Behavior when a movie reaches the end,當電影快要結束時,,當電影快要結束時,,CONSISTENT (SOME)
Belarus,'',,'',,EMPTY (SOME)
Belgium,'',,'',,EMPTY (SOME)
Belize,'',,'',,EMPTY (SOME)
Benin,'',,'',,EMPTY (SOME)
Bermuda,'',,'',,EMPTY (SOME)
Bhutan,'',,'',,EMPTY (SOME)
Big PiP,'',,'',,EMPTY (SOME)
Bitrate:,誤碼率:,,誤碼率:,,CONSISTENT (SOME)
Black screen,'',,'',,EMPTY (SOME)
Black screen till locked,'',,'',,EMPTY (SOME)
Block noise reduction,塊狀雜訊控制,,塊狀雜訊控制,,CONSISTENT (SOME)
Blue,,,'',,SOLITARY
Bolivia (Plurinational State of),'',,'',,EMPTY (SOME)
"Bonaire, Sint Eustatius and Saba",'',,'',,EMPTY (SOME)
Bookmarks,書簽,,書簽,,CONSISTENT (SOME)
Boost blue,'',,'',,EMPTY (SOME)
Boot to Android image,,,'',,SOLITARY
Boot to Recovery menu,,,'',,SOLITARY
Bootup time,,,'',,SOLITARY
Bosnia and Herzegovina,'',,'',,EMPTY (SOME)
Botswana,'',,'',,EMPTY (SOME)
Bouvet Island,'',,'',,EMPTY (SOME)
Brazil,巴西,,巴西,,CONSISTENT (SOME)
Brightness,亮度,,亮度,,CONSISTENT (SOME)
British Indian Ocean Territory,'',,'',,EMPTY (SOME)
Brunei Darussalam,'',,'',,EMPTY (SOME)
Buffering %d%%,'',,'',,EMPTY (SOME)
Bulgarian,'',,'',,EMPTY (SOME)
Burkina Faso,'',,'',,EMPTY (SOME)
Burn DVD,燒錄 DVD,,燒錄 DVD,,CONSISTENT (SOME)
Burn audio track (%s),,,'',,SOLITARY
Burn existing image to DVD,,,燒錄已有的鏡像到DVD,,SOLITARY
Burn to DVD,,,燒錄到DVD,,SOLITARY
Burundi,'',,'',,EMPTY (SOME)
Bus: ,匯流排:,,匯流排:,,CONSISTENT (SOME)
"By default, SNR will be shown in dB (when supported by the tuner). This setting forces SNR to be shown as a percentage instead.",,,'',,SOLITARY
Bypass HDMI EDID checking,,,'',,SOLITARY
C,,,C,,SOLITARY
C-Band,C-波段,,C-波段,,CONSISTENT (SOME)
CH,,,'',,SOLITARY
CH%s,'',,'',,EMPTY (SOME)
CI (Common Interface) Setup,,,'',,SOLITARY
CI assignment,CI-證書,,CI-證書,,CONSISTENT (SOME)
CI slot: ,,,'',,SOLITARY
CPU: ,,,'',,SOLITARY
CVBS,'',,CVBS,,INCOMPLETE (SOME)
Cable,有線,,有線,,CONSISTENT (SOME)
Cable Scan,'',,'',,EMPTY (SOME)
Cabo Verde,'',,'',,EMPTY (SOME)
Cache thumbnails,'',,'',,EMPTY (SOME)
Calculate,'',,'',,EMPTY (SOME)
Calculate all positions,'',,'',,EMPTY (SOME)
Calculation complete,'',,'',,EMPTY (SOME)
Calibrate,'',,'',,EMPTY (SOME)
Cambodia,'',,'',,EMPTY (SOME)
Cameroon,'',,'',,EMPTY (SOME)
Can be used for different fps between external subtitles and video.,'',,'',,EMPTY (SOME)
"Can be used to test defect pixels on TV screen.\n\nAvailable color test screens:\n\nred\ngreen\nblue\nwhite\nblack\ncyan\nmagenta\nyellow\n\nScreens change with left/right buttons or use red, green, blue to toggle.\nYellow for returning back to this intro",'',,'',,EMPTY (SOME)
Can only find a network drive to store the backup this means after the flash the autorestore will not work. Alternativaly you can mount the network drive after the flash and perform a manufacurer reset to autorestore,,,'',,SOLITARY
Canada,加拿大,,加拿大,,CONSISTENT (SOME)
Cancel,取消,,取消,,CONSISTENT (SOME)
Cancel any changes to the currently active skin,,,'',,SOLITARY
Cancel any changes to the currently active skin and exit all menus,,,'',,SOLITARY
Cancel any text changes and exit,'',,'',,EMPTY (SOME)
Cancelled upon user request,'',,'',,EMPTY (SOME)
Cannot determine,'',,'',,EMPTY (SOME)
"Cannot find any signal ..., aborting !",'',,'',,EMPTY (SOME)
Cannot find images - please try later,'',,'',,EMPTY (SOME)
Cannot move files on a different disk or system to the trash can,,,'',,SOLITARY
Cannot move to trash can,'',,'',,EMPTY (SOME)
Capabilities: ,,,'',,SOLITARY
Capacity: ,容量: ,,容量: ,,CONSISTENT (SOME)
Card,,,Card,,SOLITARY
Cascade PiP,'',,'',,EMPTY (SOME)
Cayman Islands,'',,'',,EMPTY (SOME)
Center DVB subtitles,,,'',,SOLITARY
Center time-labels and remove date,,,'',,SOLITARY
Chad,'',,'',,EMPTY (SOME)
Change PIN,,,'',,SOLITARY
Change bouquets in quickzap,快速切換自定義組,,快速切換自定義組,,CONSISTENT (SOME)
Change recording (add time),,,'',,SOLITARY
Change recording (duration),'',,'',,EMPTY (SOME)
Change recording (endtime),'',,'',,EMPTY (SOME)
Change repeat and delay settings?,'',,'',,EMPTY (SOME)
Change step size,調整,,調整,,CONSISTENT (SOME)
Change timer,,,'',,SOLITARY
Channel,頻道,,頻道,,CONSISTENT (SOME)
Channel Info,,,'',,SOLITARY
Channel list type,'',,'',,EMPTY (SOME)
Channel not in services list,頻道不在列表中,,頻道不在列表中,,CONSISTENT (SOME)
Channel selection,'',,'',,EMPTY (SOME)
Channel:,頻道:,,頻道:,,CONSISTENT (SOME)
Channellist menu,頻道列表功能表,,頻道列表功能表,,CONSISTENT (SOME)
Channelnumber and picon,,,'',,SOLITARY
Channelnumber and servicename,,,'',,SOLITARY
"Channelnumber, picon and servicename",,,'',,SOLITARY
Chap.,章節.,,章節.,,CONSISTENT (SOME)
Chapter,章節,,章節,,CONSISTENT (SOME)
Chapter:,章節:,,章節:,,CONSISTENT (SOME)
Check,檢視,,檢視,,CONSISTENT (SOME)
Check the internet connection,'',,'',,EMPTY (SOME)
Check the internet connection again,'',,'',,EMPTY (SOME)
Checking filesystem...,'',,'',,EMPTY (SOME)
Checking the internet connection,'',,'',,EMPTY (SOME)
Checking tuner %s\nDiSEqC port %s for %s,,,'',,SOLITARY
Children/Youth,'',,'',,EMPTY (SOME)
Chile,'',,'',,EMPTY (SOME)
China,'',,'',,EMPTY (SOME)
Chinese - Simplified,,,'',,SOLITARY
Chinese - Traditional,,,'',,SOLITARY
Choose Tuner,選擇調諧器,,選擇調諧器,,CONSISTENT (SOME)
Choose bouquet,,,選擇自定義組,,SOLITARY
Choose which tuner to configure.,'',,'',,EMPTY (SOME)
Christmas Island,'',,'',,EMPTY (SOME)
Circular LNB,,,'',,SOLITARY
Circular left,左圓極化,,左圓極化,,CONSISTENT (SOME)
Circular right,右圓極化,,右圓極化,,CONSISTENT (SOME)
Cleanup,清理,,清理,,CONSISTENT (SOME)
Clear,清除,,清除,,CONSISTENT (SOME)
Clear before scan,掃描前清理頻道,,掃描前清理頻道,,CONSISTENT (SOME)
Clear fixed,'',,'',,EMPTY (SOME)
Clear log,清除日誌,,清除日誌,,CONSISTENT (SOME)
Clear playlist,'',,'',,EMPTY (SOME)
Client is streaming from this box!,,,'',,SOLITARY
Clone TV screen to LCD,'',,'',,EMPTY (SOME)
Close,關閉,,關閉,,CONSISTENT (SOME)
Close PiP with 'exit' button,,,'',,SOLITARY
Close title selection,關閉標題選項,,關閉標題選項,,CONSISTENT (SOME)
Cocos (Keeling) Islands,'',,'',,EMPTY (SOME)
Code R. LP-HP & Guard Int.,,,'',,SOLITARY
Code rate HP,'',,'',,EMPTY (SOME)
