msgid,openatv,openhdf,openpli,openvix,APPEARANCES,UNIQUES,DUPLICATES,EMPTIES
A timer failed to record!\nDisable TV and try again?\n,In tiidsbarren koe net opnimme!\nTV utskeakelje en opnei besykje ?\n,In tiidsbarren koe net opnimme!\nTV utskeakelje en opnei besykje ?\n,In tiidsbarren koe net opnimme!\nTV utskeakelje en opnei besykje ?\n,In tiidsbarren koe net opnimme!\nTV utskeakelje en opnei besykje ?\n,4,1,3,0
Abort alternatives edit,,,Alternatieven bewurkjen ôfbrekke,,1,1,0,0
Abort bouquet edit,,,Boeket bewurkjen ôfbrekke,,1,1,0,0
Abort favourites edit,,,Favoriet bewurkje ôfbrekke,,1,1,0,0
About,Oer,Oer,Oer,Oer,4,1,3,0
Activate Picture in Picture,PIP ynskeakelje,PIP ynskeakelje,PiP ynskeakelje,PIP ynskeakelje,4,2,2,0
Activate network settings,Netwurk ynstellingen aktief meitsje,Netwurk ynstellingen aktief meitsje,Netwurk ynstellingen aktief meitsje,Netwurk ynstellingen aktief meitsje,4,1,3,0
Adapter settings,Adapter ynstellingen,Adapter ynstellingen,Adapter ynstellingen,Adapter ynstellingen,4,1,3,0
Add,Tafoegje,Tafoegje,Tafoegje,Tafoegje,4,1,3,0
Add a mark,In merker tafoegje,In merker tafoegje,In merker tafoegje,In merker tafoegje,4,1,3,0
Add a new title,In nije titel tafoegje,In nije titel tafoegje,In nije titel tafoegje,In nije titel tafoegje,4,1,3,0
Add alternatives,,,Alernatief tafoegje,,1,1,0,0
Add bouquet,,,Boeket tafoegje,,1,1,0,0
Add marker,,,Marker tafoegje,,1,1,0,0
Add service to bouquet,,,Kanaal tafoegje oan bouquet,,1,1,0,0
Add service to favourites,,,Kanaal tafoegje oan favorieten,,1,1,0,0
Add timer,In tiidsbarren tafoegje,In tiidsbarren tafoegje,In tiidsbarren tafoegje,In tiidsbarren tafoegje,4,1,3,0
Add title,In titel tafoegje,In titel tafoegje,In titel tafoegje,In titel tafoegje,4,1,3,0
Add to bouquet,,Oan in boeket tafoegje,Oan in boeket tafoegje,Oan in boeket tafoegje,3,1,2,0
Add to favourites,,Oan favorieten tafoegje,Oan favorieten tafoegje,Oan favorieten tafoegje,3,1,2,0
Add to parental protection,,,Âlderlik tasjoch tafoegje ,,1,1,0,0
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.","Feroarje de ynstellingen sa, da't alle skaad fan 'e kleur fuort is, mar wol fol fan kleur binne. Ot jo lokkig binne mei it einresultaat, druk OK om fideo ôfstellen ôf te slúten, of brûk de nûmmer toetsen foar in oar test skerm.","Feroarje de ynstellingen sa, da't alle skaad fan 'e kleur fuort is, mar wol fol fan kleur binne. Ot jo lokkig binne mei it einresultaat, druk OK om fideo ôfstellen ôf te slúten, of brûk de nûmmer toetsen foar in oar test skerm.","Feroarje de ynstellingen sa, da't alle skaad fan 'e kleur fuort is, mar wol fol fan kleur binne. Ot jo lokkig binne mei it einresultaat, druk OK om fideo ôfstellen ôf te slúten, of brûk de nûmmer toetsen foar in oar test skerm.","Feroarje de ynstellingen sa, da't alle skaad fan 'e kleur fuort is, mar wol fol fan kleur binne. Ot jo lokkig binne mei it einresultaat, druk OK om fideo ôfstellen ôf te slúten, of brûk de nûmmer toetsen foar in oar test skerm.",4,1,3,0
After event,Nei it barren,Nei it barren,Nei it barren,Nei it barren,4,1,3,0
Album,,'','','',3,0,0,3
All,Alles,Alles,Alles,Alles,4,1,3,0
Alpha,,'','','',3,0,0,3
Alternative services tuner priority,Alternatief kanaal tuner prioriteit,Alternatief kanaal tuner prioriteit,Alternatief kanaal tuner prioriteit,Alternatief kanaal tuner prioriteit,4,1,3,0
An empty filename is illegal.,Gjin triemnamme is net tastien,Gjin triemnamme is net tastien,Gjin triemnamme is net tastien,Gjin triemnamme is net tastien,4,1,3,0
An unknown error occurred!,,,In unbekende flater !,,1,1,0,0
Arabic,Arabysk,Arabysk,Arabysk,Arabysk,4,1,3,0
Are you sure you want to activate this network configuration?\n\n,Wolle jo wier dizze netwurk konfiguraasje aktief meitsje ?\n\n,Wolle jo wier dizze netwurk konfiguraasje aktief meitsje ?\n\n,Wolle jo wier dizze netwurk konfiguraasje aktief meitsje ?\n\n,Wolle jo wier dizze netwurk konfiguraasje aktief meitsje ?\n\n,4,1,3,0
Are you sure you want to restart your network interfaces?\n\n,Wolle jo de netwurk interfaces nij starte?\n\n,Wolle jo de netwurk interfaces nij starte?\n\n,Wolle jo de netwurk interfaces nij starte?\n\n,Wolle jo de netwurk interfaces nij starte?\n\n,4,1,3,0
Artist,Artyst,Artyst,Artyst,Artyst,4,1,3,0
Ask user,freechje gebrûker,freechje gebrûker,freechje gebrûker,freechje gebrûker,4,1,3,0
Audio,,,Lûd,,1,1,0,0
Authoring mode,Authentikaasje troch,Authentikaasje troch,Authentikaasje troch,Authentikaasje troch,4,1,3,0
Auto,,'','','',3,0,0,3
Auto chapter split every ? minutes (0=never),Haadstik automatysk eltse ? minuten splitse (0=nea),Haadstik automatysk eltse ? minuten splitse (0=nea),Haadstik automatysk eltse ? minuten splitse (0=nea),Haadstik automatysk eltse ? minuten splitse (0=nea),4,1,3,0
Auto scart switching,Auto scart skeakelje,Auto scart skeakelje,Auto scart skeakelje,Auto scart skeakelje,4,1,3,0
Automatic,Automatysk,Automatysk,Automatysk,Automatysk,4,1,3,0
Available format variables,Beskikbere variabele formaten,Beskikbere variabele formaten,Beskikbere variabele formaten,Beskikbere variabele formaten,4,1,3,0
B,,'','','',3,0,0,3
BER,,,'',,1,0,0,1
BER:,,,'',,1,0,0,1
Back,Werom,Werom,Werom,Werom,4,1,3,0
Background,Eftergrûn,Eftergrûn,Eftergrûn,Eftergrûn,4,1,3,0
Band,Bân,Bân,Bân,Bân,4,1,3,0
Bandwidth,Bânbridte,Bânbridte,Bânbridte,Bânbridte,4,1,3,0
Begin time,Begjin tiid,Begjin tiid,Begjin tiid,Begjin tiid,4,1,3,0
Behavior of '0' button in PiP mode,,,Gedrach fan 0 toets yn PiP mode,,1,1,0,0
Behavior when a movie is started,Gedrach wannear in film start is,Gedrach wannear in film start is,Gedrach wannear in film start is,Gedrach wannear in film start is,4,1,3,0
Behavior when a movie is stopped,Gedrach wannear in film stoppe is,Gedrach wannear in film stoppe is,Gedrach wannear in film stoppe is,Gedrach wannear in film stoppe is,4,1,3,0
Behavior when a movie reaches the end,Gedrach wannear in film bijna op syn ein is.,Gedrach wannear in film bijna op syn ein is.,Gedrach wannear in film bijna op syn ein is.,Gedrach wannear in film bijna op syn ein is.,4,1,3,0
Bookmarks,Boekmerkers,Boekmerkers,Boekmerkers,Boekmerkers,4,1,3,0
Brightness,Helderens,Helderens,Helderens,Helderens,4,1,3,0
Burn DVD,In DVD brâne,In DVD brâne,In DVD brâne,In DVD brâne,4,1,3,0
Burn existing image to DVD,,Besteand Image op DVD skiif brâne,Besteand Image op DVD skiif brâne,Besteand Image op DVD skiif brâne,3,1,2,0
Bus: ,,'','','',3,0,0,3
C,,,'',,1,0,0,1
C-Band,C-Bân,C-Bân,C-Bân,C-Bân,4,1,3,0
CVBS,,'','','',3,0,0,3
Cable,Kabel,Kabel,Kabel,Kabel,4,1,3,0
Cancel,Ôfbrekke,Ôfbrekke,Ôfbrekke,Ôfbrekke,4,1,3,0
Capacity: ,Skiif-grutte:,Skiif-grutte:,Skiif-grutte:,Skiif-grutte:,4,1,3,0
Card,,,Kaart,,1,1,0,0
Change bouquets in quickzap,Feroarje fan boeket yn quickzap,Feroarje fan boeket yn quickzap,Feroarje fan boeket yn quickzap,Feroarje fan boeket yn quickzap,4,1,3,0
Channel,Kanaal,Kanaal,Kanaal,Kanaal,4,1,3,0
Channel:,Kanaal:,Kanaal:,Kanaal:,Kanaal:,4,1,3,0
Channellist menu,,,Kanaal-lyst menu,,1,1,0,0
Chap.,Haads.,Haads.,Haads.,Haads.,4,1,3,0
Chapter,Haadstik,Haadstik,Haadstik,Haadstik,4,1,3,0
Chapter:,Haadstik:,Haadstik:,Haadstik:,Haadstik:,4,1,3,0
Check,Neisjen,Neisjen,Neisjen,Neisjen,4,1,3,0
Cleanup,Opskjinje,Opskjinje,Opskjinje,Opskjinje,4,1,3,0
Clear before scan,Wiskje foar sykjen ?,Wiskje foar sykjen ?,Wiskje foar sykjen ?,Wiskje foar sykjen ?,4,1,3,0
Clear log,Log wiskje,Log wiskje,Log wiskje,Log wiskje,4,1,3,0
Close,Slúte,Slúte,Slúte,Slúte,4,1,3,0
Collection name,Kolleksje namme,Kolleksje namme,Kolleksje namme,Kolleksje namme,4,1,3,0
Collection settings,Kolleksje ynstellingen,Kolleksje ynstellingen,Kolleksje ynstellingen,Kolleksje ynstellingen,4,1,3,0
Command execution...,,,Kommando útfiere,,1,1,0,0
Command order,Kommando folgoarde,Kommando folgoarde,Kommando folgoarde,Kommando folgoarde,4,1,3,0
Common Interface,,'','','',3,0,0,3
Complete,Kompleet,Kompleet,Kompleet,Kompleet,4,1,3,0
Complex (allows mixing audio tracks and aspects),Komplex(lud spoor & aspekt mixen tastien),Komplex(lud spoor & aspekt mixen tastien),Komplex(lud spoor & aspekt mixen tastien),Komplex(lud spoor & aspekt mixen tastien),4,1,3,0
Configuring,Oan it ynstellen,Oan it ynstellen,Oan it ynstellen,Oan it ynstellen,4,1,3,0
Connected to,Ferbûn mei,Ferbûn mei,Ferbûn mei,Ferbûn mei,4,1,3,0
Content does not fit on DVD!,Ynhald past net op in DVD !,Ynhald past net op in DVD !,Ynhald past net op in DVD !,Ynhald past net op in DVD !,4,1,3,0
Continue playing,Kontinu spielje,Kontinu spielje,Kontinu spielje,Kontinu spielje,4,1,3,0
Contrast,Kontrast,Kontrast,Kontrast,Kontrast,4,1,3,0
Copy to bouquets,,,Kopieer nei boeketten,,1,1,0,0
Create DVD-ISO,Meitsje DVD-ISO,Meitsje DVD-ISO,Meitsje DVD-ISO,Meitsje DVD-ISO,4,1,3,0
Create directory,,,Map meitsje,,1,1,0,0
Creating directory %s failed.,Meitjse fan map %s is mislearre,Meitjse fan map %s is mislearre,Meitjse fan map %s is mislearre,Meitjse fan map %s is mislearre,4,1,3,0
Croatian,Kroatysk,Kroatysk,Kroatysk,Kroatysk,4,1,3,0
Current settings:,Hjoeddeiske ynstellingen:,Hjoeddeiske ynstellingen:,Hjoeddeiske ynstellingen:,Hjoeddeiske ynstellingen:,4,1,3,0
Customize,Oanpasse,Oanpasse,Oanpasse,,3,1,2,0
Cut,Knip,Knip,Knip,Knip,4,1,3,0
Cutlist editor...,Kniplyst bewurker...,Kniplyst bewurker...,Kniplyst bewurker...,Kniplyst bewurker...,4,1,3,0
Czech,Tsjechysk,Tsjechysk,Tsjechysk,Tsjechysk,4,1,3,0
D,,,'',,1,0,0,1
DHCP,,'','','',3,0,0,3
DVB-S,,'','','',3,0,0,3
DVB-S2,,'','','',3,0,0,3
DVD media toolbox,,DVD media arkbak,DVD media arkbak,DVD media arkbak,3,1,2,0
Danish,Deensk,Deensk,Deensk,Deensk,4,1,3,0
Date,Datum,Datum,Datum,Datum,4,1,3,0
Delete,Ferwiderje,Ferwiderje,Ferwiderje,Ferwiderje,4,1,3,0
Delete entry,Ferwiderje ynfier,Ferwiderje ynfier,Ferwiderje ynfier,Ferwiderje ynfier,4,1,3,0
Delete failed!,Ferwiderjen mislearre!,Ferwiderjen mislearre!,Ferwiderjen mislearre!,Ferwiderjen mislearre!,4,1,3,0
Description,Beskriuwing,Beskriuwing,Beskriuwing,Beskriuwing,4,1,3,0
Detected HDD:,,,Fûne hurde skiif:,,1,1,0,0
Detected NIMs:,Fûne Tuners:,Fûne Tuners:,Fûne Tuners:,,3,1,2,0
DiSEqC,,'','','',3,0,0,3
DiSEqC A/B,,'','','',3,0,0,3
DiSEqC A/B/C/D,,'','','',3,0,0,3
DiSEqC mode,DiSEqC-Mode,DiSEqC-Mode,DiSEqC-Mode,DiSEqC-Mode,4,1,3,0
Direct playback of linked titles without menu,Direkt ôfspielje fan keppele titels sûnder menu,Direkt ôfspielje fan keppele titels sûnder menu,Direkt ôfspielje fan keppele titels sûnder menu,Direkt ôfspielje fan keppele titels sûnder menu,4,1,3,0
Disable,Utskeakelje,Utskeakelje,Utskeakelje,Utskeakelje,4,1,3,0
Disable Picture in Picture,PIP utskeakelje,PIP utskeakelje,PiP utskeakelje,PIP utskeakelje,4,2,2,0
Disable move mode,,,Ferpleats modus útskeakelje,,1,1,0,0
Disabled,Utskeakele,Utskeakele,Utskeakele,Utskeakele,4,1,3,0
Display 16:9 content as,16:9 ynhâld sjen litte as,16:9 ynhâld sjen litte as,16:9 ynhâld sjen litte as,16:9 ynhâld sjen litte as,4,1,3,0
Display 4:3 content as,4:3 ynhâld sjen litte as,4:3 ynhâld sjen litte as,4:3 ynhâld sjen litte as,4:3 ynhâld sjen litte as,4,1,3,0
Do you really want to check the filesystem?\nThis could take lots of time!,,,Wolle jo echt it bestânsysteem neisjen ?<br> Dit kin lang duorje !,,1,1,0,0
Do you really want to delete %s?,Wolle jo wier %s ferwiderje?,Wolle jo wier %s ferwiderje?,Wolle jo wier %s ferwiderje?,Wolle jo wier %s ferwiderje?,4,1,3,0
"Do you really want to download\nthe plugin \""%s\""?",,,"Wolle jo wier de plugin \""%s\"" binnenhelje ?",,1,1,0,0
Do you really want to remove directory %s from the disk?,Wolle jo echt map %s ferwiderje van skiif ?,Wolle jo echt map %s ferwiderje van skiif ?,Wolle jo echt map %s ferwiderje van skiif ?,Wolle jo echt map %s ferwiderje van skiif ?,4,1,3,0
Do you really want to remove your bookmark of %s?,Wolle jo echt boekmerk fan %s ferwiderje ?,Wolle jo echt boekmerk fan %s ferwiderje ?,Wolle jo echt boekmerk fan %s ferwiderje ?,Wolle jo echt boekmerk fan %s ferwiderje ?,4,1,3,0
Do you want to burn this collection to DVD medium?,Wolle jo dizze kolleksje nei DVD brâne ?,Wolle jo dizze kolleksje nei DVD brâne ?,Wolle jo dizze kolleksje nei DVD brâne ?,Wolle jo dizze kolleksje nei DVD brâne ?,4,1,3,0
Do you want to play DVD in drive?,Wolle jo de DVD ôfspielje ?,Wolle jo de DVD ôfspielje ?,Wolle jo de DVD ôfspielje ?,Wolle jo de DVD ôfspielje ?,4,1,3,0
Do you want to preview this DVD before burning?,Wolle jo de DVD besjen foar it brânen ?,Wolle jo de DVD besjen foar it brânen ?,Wolle jo de DVD besjen foar it brânen ?,Wolle jo de DVD besjen foar it brânen ?,4,1,3,0
Do you want to restore your settings?,Wolle jo jo ynstellingen wêrom sette ?,Wolle jo jo ynstellingen wêrom sette ?,Wolle jo jo ynstellingen wêrom sette ?,Wolle jo jo ynstellingen wêrom sette ?,4,1,3,0
Do you want to resume this playback?,Wolle jo dit opnimmen fjierder ôfspielje ?,Wolle jo dit opnimmen fjierder ôfspielje ?,Wolle jo dit opnimmen fjierder ôfspielje ?,,3,1,2,0
Don't stop current event but disable coming events,"Dit barren net stopje, maar oankommende barren útskeakelje","Dit barren net stopje, maar oankommende barren útskeakelje","Dit barren net stopje, maar oankommende barren útskeakelje",,3,1,2,0
Downloadable new plugins,,,Binnen te heljen nije ynstekkers,,1,1,0,0
Downloadable plugins,,,Binnen te heljen ynstekkers,,1,1,0,0
Downloading,Binnenheljen fan,Binnenheljen fan,Binnenheljen fan,Binnenheljen fan,4,1,3,0
Downloading plugin information. Please wait...,Binnenheljen fan ynstekker ynformaasje...,Binnenheljen fan ynstekker ynformaasje...,Binnenheljen fan ynstekker ynformaasje...,Binnenheljen fan ynstekker ynformaasje...,4,1,3,0
Dutch,Nederlansk,Nederlansk,Nederlansk,Nederlansk,4,1,3,0
E,,'','','',3,0,0,3
ERROR - failed to scan (%s)!,Flater - Sykjen mislearre (%s)!,Flater - Sykjen mislearre (%s)!,Flater - Sykjen mislearre (%s)!,Flater - Sykjen mislearre (%s)!,4,1,3,0
East,,'','','',3,0,0,3
Edit,Bewurkje,Bewurkje,Bewurkje,Bewurkje,4,1,3,0
Edit DNS,,Wyzigje de DNS,Wyzigje de DNS,Wyzigje de DNS,3,1,2,0
Edit alternatives,,,Bewurkje alternatief,,1,1,0,0
Edit chapters of current title,Bewurkje haadstik fan dizze titel,Bewurkje haadstik fan dizze titel,Bewurkje haadstik fan dizze titel,Bewurkje haadstik fan dizze titel,4,1,3,0
Edit settings,Wyzigje ynstellingen,Wyzigje ynstellingen,Wyzigje ynstellingen,Wyzigje ynstellingen,4,1,3,0
Edit title,Bewukje titel,Bewukje titel,Bewukje titel,Bewukje titel,4,1,3,0
Electronic Program Guide,Elektroniske Programma Gids,Elektroniske Programma Gids,Elektroniske Programma Gids,Elektroniske Programma Gids,4,1,3,0
Enable,Ynskeakelje,Ynskeakelje,Ynskeakelje,Ynskeakelje,4,1,3,0
Enable 5V for active antenna,5V ynskeakelje foar hjoeddeiske antenne,5V ynskeakelje foar hjoeddeiske antenne,5V ynskeakelje foar hjoeddeiske antenne,5V ynskeakelje foar hjoeddeiske antenne,4,1,3,0
Enable bouquet edit,,,Bewurkjen boeket oan,,1,1,0,0
Enable favourites edit,,,Bewurkjen favorieten oan,,1,1,0,0
Enable move mode,,,Ferpleatsen mode oan,,1,1,0,0
Enable multiple bouquets,Mear boeketten sjen litte,Mear boeketten sjen litte,Mear boeketten sjen litte,Mear boeketten sjen litte,4,1,3,0
Enabled,Ynskeakele,Ynskeakele,Ynskeakele,Ynskeakele,4,1,3,0
Encryption,,'','','',3,0,0,3
End alternatives edit,,,Bewurkjen alternatief út,,1,1,0,0
End bouquet edit,,,Bewurkjen boeket út,,1,1,0,0
End favourites edit,,,Bewurkjen favoriet út,,1,1,0,0
End time,Eintiid,Eintiid,Eintiid,Eintiid,4,1,3,0
English,Engelsk,Engelsk,Engelsk,Engelsk,4,1,3,0
Enter main menu...,Nei it haadmenu...,Nei it haadmenu...,Nei it haadmenu...,Nei it haadmenu...,4,1,3,0
Enter the service pin,Fier de service pin yn,Fier de service pin yn,Fier de service pin yn,Fier de service pin yn,4,1,3,0
Error,Flater,Flater,Flater,Flater,4,1,3,0
Error: %s\nRetry?,Flater: %s\nOpnei ?,Flater: %s\nOpnei ?,Flater: %s\nOpnei ?,Flater: %s\nOpnei ?,4,1,3,0
Execution finished!!,Utfiering klear..,Utfiering klear..,Utfiering klear..,Utfiering klear..,4,1,3,0
Exif,,'','','',3,0,0,3
Exit,ofslúte,ofslúte,ofslúte,ofslúte,4,1,3,0
Exit editor,Bewurker ofslúte,Bewurker ofslúte,Bewurker ofslúte,Bewurker ofslúte,4,1,3,0
Exit the wizard,De gucheler ofslúte,De gucheler ofslúte,De gucheler ofslúte,De gucheler ofslúte,4,1,3,0
Expert,Avansearre,Avansearre,Avansearre,Avansearre,4,1,3,0
Extensions,Utwreidingen,Utwreidingen,Utwreidingen,Utwreidingen,4,1,3,0
FEC,,'','','',3,0,0,3
Factory reset,Fabryks ynstellingen,Fabryks ynstellingen,Fabryks ynstellingen,Fabryks ynstellingen,4,1,3,0
Failed,mislearre,mislearre,mislearre,mislearre,4,1,3,0
Fast,Rap,Rap,Rap,Rap,4,1,3,0
Fast DiSEqC,Rappe DiSEqC,Rappe DiSEqC,Rappe DiSEqC,Rappe DiSEqC,4,1,3,0
Fast epoch,Snelle epoch,Snelle epoch,Snelle epoch,Snelle epoch,4,1,3,0
Favourites,Favoryten,Favoryten,Favoryten,Favoryten,4,1,3,0
Finetune,Fyn ôfstemme,Fyn ôfstemme,Fyn ôfstemme,Fyn ôfstemme,4,1,3,0
Finished,Ofrûn,Ofrûn,Ofrûn,Ofrûn,4,1,3,0
Finished configuring your network,Klear mei ynstellen fan it netwurk,Klear mei ynstellen fan it netwurk,Klear mei ynstellen fan it netwurk,Klear mei ynstellen fan it netwurk,4,1,3,0
Finished restarting your network,Klear mei it opnei starten fan it netwurk,Klear mei it opnei starten fan it netwurk,Klear mei it opnei starten fan it netwurk,,3,1,2,0
Finnish,Finsk,Finsk,Finsk,Finsk,4,1,3,0
Format,Formaat,Formaat,Formaat,Formaat,4,1,3,0
Frame size in full view,gedielte yn folslein skerm,gedielte yn folslein skerm,gedielte yn folslein skerm,gedielte yn folslein skerm,4,1,3,0
French,Frans,Frans,Frans,Frans,4,1,3,0
Frequency,Frekwinsje,Frekwinsje,Frekwinsje,Frekwinsje,4,1,3,0
Frequency bands,Frekwinsje bânnen,Frekwinsje bânnen,Frekwinsje bânnen,Frekwinsje bânnen,4,1,3,0
Frequency scan step size(khz),Frekwinsje sykjen stap grutte(kHz),Frekwinsje sykjen stap grutte(kHz),Frekwinsje sykjen stap grutte(kHz),Frekwinsje sykjen stap grutte(kHz),4,1,3,0
Frequency steps,Oantal Frekwinsje stappen,Oantal Frekwinsje stappen,Oantal Frekwinsje stappen,Oantal Frekwinsje stappen,4,1,3,0
Fri,Fre,Fre,Fre,Fre,4,1,3,0
Friday,Freed,Freed,Freed,Freed,4,1,3,0
Gateway,,'','','',3,0,0,3
Genre,Sjenre,Sjenre,Sjenre,Sjenre,4,1,3,0
German,Dúts,Dúts,Dúts,Dúts,4,1,3,0
Getting plugin information. Please wait...,Binnenhelje fan ynstekker ynformaasje....,Binnenhelje fan ynstekker ynformaasje....,Binnenhelje fan ynstekker ynformaasje....,Binnenhelje fan ynstekker ynformaasje....,4,1,3,0
Goto 0,Gjin nei 0,Gjin nei 0,Gjin nei 0,Gjin nei 0,4,1,3,0
Goto position,Gjin nei posysje,Gjin nei posysje,Gjin nei posysje,Gjin nei posysje,4,1,3,0
Graphical Multi EPG,,,Grafyske Multi EPG,,1,1,0,0
Greek,Gryks,Gryks,Gryks,Gryks,4,1,3,0
Harddisk,,,Hurde skiif,,1,1,0,0
How many minutes do you want to record?,Hoe folle minuten wolle jo opnimme?,Hoe folle minuten wolle jo opnimme?,Hoe folle minuten wolle jo opnimme?,,3,1,2,0
Hungarian,Hongaarsk,Hongaarsk,Hongaarsk,Hongaarsk,4,1,3,0
ISO file is too large for this filesystem!,ISO triem is te grut foar dit bestânsysteem!,ISO triem is te grut foar dit bestânsysteem!,ISO triem is te grut foar dit bestânsysteem!,ISO triem is te grut foar dit bestânsysteem!,4,1,3,0
ISO path,ISO paad,ISO paad,ISO paad,ISO paad,4,1,3,0
"If you see this, something is wrong with\nyour scart connection. Press OK to return.","Ot jo dit leze, is der iets raar skeef mei\njo skart oansluting. Druk OK om werom te gean.","Ot jo dit leze, is der iets raar skeef mei\njo skart oansluting. Druk OK om werom te gean.","Ot jo dit leze, is der iets raar skeef mei\njo skart oansluting. Druk OK om werom te gean.",,3,1,2,0
"If your TV has a brightness or contrast enhancement, disable it. If there is something called \""dynamic\"", set it to standard. Adjust the backlight level to a value suiting your taste. Turn down contrast on your TV as much as possible.\nThen turn the brightness setting as low as possible, but make sure that the two lowermost shades of gray stay distinguishable.\nDo not care about the bright shades now. They will be set up in the next step.\nIf you are happy with the result, press OK.","Skeakelje in helderens of kontrast ferbettering op jo TV út. Is der iets mei de namme \""dynamysk\"", set it nei standert. Set it eftergrûn helderens nivo nei jo eigen smaak. Set it konstrast sa leech mooglik op jo TV.\nDan, set it helderens nivo sa leech as mooglik, mar soargje dat de twa leechste griistinten krek anwêzig bliuwe\nMeitsje jo net drok om de helderenstinten no. Die komme werom yn de folgende stap\nBinne jo tefreden mei it resultaat, druk OK","Skeakelje in helderens of kontrast ferbettering op jo TV út. Is der iets mei de namme \""dynamysk\"", set it nei standert. Set it eftergrûn helderens nivo nei jo eigen smaak. Set it konstrast sa leech mooglik op jo TV.\nDan, set it helderens nivo sa leech as mooglik, mar soargje dat de twa leechste griistinten krek anwêzig bliuwe\nMeitsje jo net drok om de helderenstinten no. Die komme werom yn de folgende stap\nBinne jo tefreden mei it resultaat, druk OK","Skeakelje in helderens of kontrast ferbettering op jo TV út. Is der iets mei de namme \""dynamysk\"", set it nei standert. Set it eftergrûn helderens nivo nei jo eigen smaak. Set it konstrast sa leech mooglik op jo TV.\nDan, set it helderens nivo sa leech as mooglik, mar soargje dat de twa leechste griistinten krek anwêzig bliuwe\nMeitsje jo net drok om de helderenstinten no. Die komme werom yn de folgende stap\nBinne jo tefreden mei it resultaat, druk OK","Skeakelje in helderens of kontrast ferbettering op jo TV út. Is der iets mei de namme \""dynamysk\"", set it nei standert. Set it eftergrûn helderens nivo nei jo eigen smaak. Set it konstrast sa leech mooglik op jo TV.\nDan, set it helderens nivo sa leech as mooglik, mar soargje dat de twa leechste griistinten krek anwêzig bliuwe\nMeitsje jo net drok om de helderenstinten no. Die komme werom yn de folgende stap\nBinne jo tefreden mei it resultaat, druk OK",4,1,3,0
"In order to record a timer, the TV was switched to the recording service!\n",,"Op in barren op te nimmen, wurd de TV nei opnimmen skeakele!\n","Op in barren op te nimmen, wurd de TV nei opnimmen skeakele!\n","Op in barren op te nimmen, wurd de TV nei opnimmen skeakele!\n",3,1,2,0
