msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
=NO STREAM\n,'',,=INGEN STREAM\n,'',INCOMPLETE (SOME),
??,'','',??,'',INCOMPLETE (ALL),
A,'','',A,'',INCOMPLETE (ALL),
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,'','',En konfigurasjonsfil (%s) har blitt endret siden den ble installert.\nSkal siste endring beholdes?,'',INCOMPLETE (ALL),
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,'','',En konfigurasjonsfil (%s) ble endret etter siste installasjon.\nSkal siste versjon beholdes?,'',INCOMPLETE (ALL),
A file from media is in use!,,,En media fil er i bruk!,,SOLITARY,
A finished record timer wants to set your\nreceiver to standby. Do that now?,,,Et timer opptak er ferdig og vil slå av din\nmottaker til standby. Slå av nå?,,SOLITARY,
A finished record timer wants to shut down\nyour receiver. Shutdown now?,,,Et timer opptak er ferdig og vil slå av din\nmottaker. Slå av nå?,,SOLITARY,
A graphical EPG for all services of a specific bouquet,,,En grafisk EPG for alle kanaler i en bestemt kanalliste,,SOLITARY,
A record has been started:\n%s,,,Et opptak har startet:\n%s,,SOLITARY,
A recording is currently running on the selected tuner. Please select a different tuner or stop the recording and try again.,,,Et opptak pågår på denne tuneren. Vennligst velg en annen tuner eller stopp opptaket og prøv igjen.,,SOLITARY,
A recording is currently running.\nWhat do you want to do?,'','',Et opptak pågår.\nHva vil du gjøre?,,INCOMPLETE (SOME),
A recording is currently running. Please stop the recording before trying to scan.,'','',Et opptak pågår. Vennligst stopp opptaket før kanalsøk kan utføres.,'',INCOMPLETE (ALL),
A recording is currently running. Please stop the recording before trying to start a testing DiSEqC.,,,Et opptak pågår. Vennligst stopp opptaket før DiSEqC testing kan utføres.,,SOLITARY,
A required tool (%s) was not found.,'','',Finner ikke et nødvendig verktøy ( %s).,'',INCOMPLETE (ALL),
A search for available updates is currently in progress.,'','',Søk etter nye oppdateringer er igang.,'',INCOMPLETE (ALL),
A second configured interface has been found.\n\nDo you want to disable the second network interface?,'','',Det ble funnet enda et konfigurert nettverkskort.\n\nSkal dette nettverkskortet frakobles?,'',INCOMPLETE (ALL),
A sleep timer wants to set your\nreceiver to standby. Do that now?,,,Dvale timer vil slå av din\nmottaker til standby. Slå av nå?,,SOLITARY,
A sleep timer wants to shut down\nyour receiver. Shutdown now?,,,Dvale timer vil å slå av\ndin mottaker. Slå av nå?,,SOLITARY,
A small overview of the available icon states and actions.,'','',En liten oversikt over indikatorens status og handlinger.,'',INCOMPLETE (ALL),
A timer failed to record!\nDisable TV and try again?\n,'','',Et timer opptak mislyktes!\nSlå av TV og prøv igjen?\n,'',INCOMPLETE (ALL),
A/V settings,,'',Lyd og bilde innstilling,'',INCOMPLETE (SOME),
AAC downmix,'','',AAC nedskalering,'',INCOMPLETE (ALL),
AC3 downmix,'',,AC3 nedskalering,'',INCOMPLETE (SOME),
ACQUIRING TSID/ONID,,'',ANSKAFFER TSID/ONID,'',INCOMPLETE (SOME),
AGC:,,,AGC:,'',INCOMPLETE (SOME),
ASS File,,,ASS fil,,SOLITARY,
ASS file,,,ASS fil,'',INCOMPLETE (SOME),
ATSC,'',,ATSC,'',INCOMPLETE (SOME),
ATSC provider,'',,ATSC distributør,'',INCOMPLETE (SOME),
Abort,'','',Avbryt,'',INCOMPLETE (ALL),
Abort alternatives edit,,,Avbryt redigering,'',INCOMPLETE (SOME),
Abort bouquet edit,,,Avbryt redigering av kanalliste,'',INCOMPLETE (SOME),
Abort favourites edit,,,Avbryt redigering av favorittliste,'',INCOMPLETE (SOME),
About,'','',Om,'',INCOMPLETE (ALL),
Accesspoint:,'','',Aksesspunkt:,'',INCOMPLETE (ALL),
Activate HbbTV (Redbutton),'',,Aktiver HbbTV (Rød tast),,INCOMPLETE (SOME),
Activate Picture in Picture,'','',Aktiver bilde i bilde,'',INCOMPLETE (ALL),
Activate current configuration,'','',Aktiver gjeldende konfigurasjon,'',INCOMPLETE (ALL),
Activate network settings,'','',Aktiver nettverksinnstillingene,'',INCOMPLETE (ALL),
Activate the configured network settings.,'','',Aktiver nettverksinnstillingene.,'',INCOMPLETE (ALL),
Activate timeshift End,'',,Aktiver timeskift sluttid,,INCOMPLETE (SOME),
Activate timeshift end and pause,'',,Aktiver timeskift sluttid og pause,'',INCOMPLETE (SOME),
Adapter settings,'','',Nettverks innstillinger,'',INCOMPLETE (ALL),
Add,'','',Legg til,'',INCOMPLETE (ALL),
Add a mark,'','',Legg til merke,'',INCOMPLETE (ALL),
Add a nameserver entry,'','',Legg til en navneserver oppføring,'',INCOMPLETE (ALL),
Add a new title,'','',Legg til ny overskrift,'',INCOMPLETE (ALL),
Add alternatives,,,Legg til alternativer,'',INCOMPLETE (SOME),
Add bookmark,'','',Legg til bokmerke,'',INCOMPLETE (ALL),
Add bouquet,,,Legg til favorittliste,'',INCOMPLETE (SOME),
Add bouquet to parental protection,,,Legg til kanalliste i foreldrekontroll,'',INCOMPLETE (SOME),
Add directory to playlist,'','',Legg til mappe i opptaksliste,'',INCOMPLETE (ALL),
Add file to playlist,'','',Legg til fil i opptaksliste,'',INCOMPLETE (ALL),
Add files to playlist,'','',Legg til filer i opptaksliste,'',INCOMPLETE (ALL),
Add marker,,,Legg til markør,'',INCOMPLETE (SOME),
Add provider,'','',Legg til distributør,'',INCOMPLETE (ALL),
Add recording (enter recording duration),'','',Legg til et opptak (velg opptakets lengde),'',INCOMPLETE (ALL),
Add recording (enter recording endtime),'','',Legg til et opptak (velg opptakets sluttid),'',INCOMPLETE (ALL),
Add recording (indefinitely),'','',Legg til et et opptak (på ubestemt tid),'',INCOMPLETE (ALL),
Add recording (stop after current event),'','',Legg til et et opptak (stopp etter gjeldende program),'',INCOMPLETE (ALL),
Add service,'','',Legg til kanal,'',INCOMPLETE (ALL),
Add service to bouquet,,,Legg til denne kanal i kanalliste,'',INCOMPLETE (SOME),
Add service to favourites,,,Legg til denne kanal i favorittliste,'',INCOMPLETE (SOME),
Add services to this bouquet?,,,Legg til kanaler i denne favorittlisten?,'',INCOMPLETE (SOME),
Add timer,'','',Legg til timer,'',INCOMPLETE (ALL),
Add title,'','',Lag overskrift,'',INCOMPLETE (ALL),
Add to bouquet,,'',Legg til i kanalliste,'',INCOMPLETE (SOME),
Add to favourites,,'',Legg til i favorittliste,'',INCOMPLETE (SOME),
Add to parental protection,,,Legg til i foreldrekontroll,'',INCOMPLETE (SOME),
Add/remove change timer for current event,'',,Legg til/slett timer i dette program,,INCOMPLETE (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move the dish from one satellite to another satellite.,'',,Flere motor alternativer lar deg angi detaljer fra din parabolmotors spesifikasjoner slik at enigma kan regne ut hvor lang tid det tar å flytte fra en satellitt til en annen satellitt.,'',INCOMPLETE (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move to another satellite.,'',,Flere motor alternativer lar deg angi detaljer fra din parabolmotors spesifikasjoner slik at enigma kan regne ut hvor lang tid det tar å flytte til en annen satellitt.,'',INCOMPLETE (SOME),
Adjust 3D settings,'','',Juster 3D innstillinger,,INCOMPLETE (SOME),
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.",'','',Juster fargeinnstillingene slik at de er godt skilt og skarpest mulig. Trykk OK eller bruk nummertastene for flere testbilder. Trykk exit tasten når du er ferdig.,'',INCOMPLETE (ALL),
Advanced,'',,Ekspert,'',INCOMPLETE (SOME),
Advanced options,'','',Ekspert valg,'',INCOMPLETE (ALL),
Advanced options and settings.,,,Ekspert innstillinger.,,SOLITARY,
Advanced restore,'','',Ekspert gjenoppretting,'',INCOMPLETE (ALL),
Advanced software,'','',Ekspert programvare,'',INCOMPLETE (ALL),
Advanced software plugin,'','',Ekspert utvidelser,'',INCOMPLETE (ALL),
Advanced video enhancement setup,'','',Ekspert bildeforbedrings innstilling,'',INCOMPLETE (ALL),
Advanced video setup,,'',Ekspert bildeinnstilling,,INCOMPLETE (SOME),
Afghanistan,'',,Afghanistan,'',INCOMPLETE (SOME),
After event,'','',Etter opptak,'',INCOMPLETE (ALL),
Aland Islands,'',,Åland,'',INCOMPLETE (SOME),
Albania,'',,Albania,'',INCOMPLETE (SOME),
Album,'','',Album,'',INCOMPLETE (ALL),
Algeria,'',,Algerie,'',INCOMPLETE (SOME),
Alignment of events,'',,Programjustering,'',INCOMPLETE (SOME),
Alignment of service names,'',,Kanalnavnjustering,'',INCOMPLETE (SOME),
All,'','',Alle,'',INCOMPLETE (ALL),
All ages,'','',Alle aldre,'',INCOMPLETE (ALL),
All frequency,,,Alle frekvenser,'',INCOMPLETE (SOME),
All satellites 1 (USALS),'',,Alle satellitt posisjoner 1 (USALS),'',INCOMPLETE (SOME),
All satellites 2 (USALS),'',,Alle satellitt posisjoner 2 (USALS),'',INCOMPLETE (SOME),
All satellites 3 (USALS),'',,Alle satellitt posisjoner 3 (USALS),'',INCOMPLETE (SOME),
All satellites 4 (USALS),'',,Alle satellitt posisjoner 4 (USALS),'',INCOMPLETE (SOME),
All services provider,'',,Alle distributører,'',INCOMPLETE (SOME),
All slots,,,Alle spor,'',INCOMPLETE (SOME),
Allocate,'','',Tildel,'',INCOMPLETE (ALL),
Allocate a number to the physical LNB you are configuring. You will be able to select this LNB again for other satellites (e.g. motorised dishes) to save setting up the same LNB multiple times.,'',,Tildel et nummer til den fysiske LNB du stiller inn. Du vil kunne velge denne LNB igjen for andre satellitter (f.eks motorisert parabol) lagre og sette opp samme LNB flere ganger.,'',INCOMPLETE (SOME),
Allocate unused memory index,'','',Tildel ubrukt minneregister,'',INCOMPLETE (ALL),
Allow 10bit,'',,Tillat 10bit,'',INCOMPLETE (SOME),
Allow 12bit,'',,Tillat 12bit,'',INCOMPLETE (SOME),
Allow quit movieplayer with exit,'',,Tillat stopp avspiller med exit tast,,INCOMPLETE (SOME),
Allow quitting movieplayer with exit,,,Tillat stopp avspiller med exit tast,,SOLITARY,
Allow subtitle language to equal audio language,'','',Undertekstspråk er samme som lydspråk,'',INCOMPLETE (ALL),
Allow subtitles for hearing impaired,'','',Bruk undertekst for hørselshemmede,'',INCOMPLETE (ALL),
Allow unsupported modes,'',,Tillat ustøttet valg,,INCOMPLETE (SOME),
Alpha,'','',Alfa,'',INCOMPLETE (ALL),
Also import at reboot/restart enigma2,,,Importer også ved omstart/start om enigma2,,SOLITARY,
Also import from the extension menu,,,Importer også fra blåtast meny,,SOLITARY,
Also import when box is leaving standby,,,Importer når mottakeren blir slått på,,SOLITARY,
Also on standby,'',,Også i av/på,'',INCOMPLETE (SOME),
Alternative,'','',Alternativ,'',INCOMPLETE (ALL),
Alternative 1,'',,Alternativ 1,'',INCOMPLETE (SOME),
Alternative 2,'',,Alternativ 2,'',INCOMPLETE (SOME),
Alternative URL for images listed on FlashImage,,,Alternativ URL-adresse for operativsystem oppført på FlashImage,,SOLITARY,
Alternative URLs for DVB-T/C or ATSC,,,Alternative nettadresser for DVB-T/C eller ATSC,,SOLITARY,
Alternative numbering mode,'','',Alternativt nummervalg,'',INCOMPLETE (ALL),
Alternative services tuner priority,'','',Alternativt tunervalg for kanaler,'',INCOMPLETE (ALL),
Always ask,'','',Spør først,'',INCOMPLETE (ALL),
Always hide infobar,'','',Skjul infobar,'',INCOMPLETE (ALL),
Always include ECM in recordings,'',,Lagre ECM data i opptakene,,INCOMPLETE (SOME),
"Always include ECM messages in recordings. This overrides the individual timer settings globally. It allows recordings to be always decrypted afterwards (sometimes called offline decoding), if supported by your receiver. Default: off.",'',,"Alltid inkluder ECM data i opptakene. Dette overstyrer egne globale timer innstillinger. Dette tillater alltid opptak å bli avkodet i ettertid (offline dekoding), hvis støttet av din mottaker. Standardinnstilling: av.",,INCOMPLETE (SOME),
American Samoa,'',,Amerikansk Samoa,'',INCOMPLETE (SOME),
An empty filename is illegal.,'','',Et tomt filnavn er ugyldig.,'',INCOMPLETE (ALL),
An error occurred - Please try again later,,,"Det oppstod en feil, vennligst prøv igjen senere",,SOLITARY,
An error occurred while downloading the packetlist. Please try again.,'','',Det oppstod en feil under nedlasting av programvare. Vennligst prøv igjen.,'',INCOMPLETE (ALL),
An unknown error occurred!,'','',En ukjent feil oppstod!,'',INCOMPLETE (ALL),
And will put your receiver in standby over ,,,Og vil sette din mottaker i standby over ,,SOLITARY,
Andorra,'',,Andorra,'',INCOMPLETE (SOME),
Angola,'',,Angola,'',INCOMPLETE (SOME),
Anguilla,'',,Anguilla,'',INCOMPLETE (SOME),
Antarctica,'',,Antarktis,'',INCOMPLETE (SOME),
Antigua and Barbuda,'',,Antigua og Barbuda,'',INCOMPLETE (SOME),
Any activity,'','',Enhver aktivitet,'',INCOMPLETE (ALL),
Arabic,'','',Arabisk,'',INCOMPLETE (ALL),
Are you sure to delete image:,,,Er du sikker på å slette operativsystemet:,,SOLITARY,
Are you sure to purge all deleted user bouquets?,,,Er du sikker på at du vil fjerne alle slettede kanallister?,,SOLITARY,
Are you sure to reboot to,,,Er du sikker på at du vil starte på nytt for å,,SOLITARY,
Are you sure to remove all %d.%d%s%s services?,'',,Er du sikker på at du vil fjerne alle %d.%d%s%s kanaler?,,INCOMPLETE (SOME),
Are you sure to remove all cable services?,'',,Er du sikker på at du vil fjerne alle kabel TV kanaler?,,INCOMPLETE (SOME),
Are you sure to remove all terrestrial services?,'',,Er du sikker på at du vil fjerne alle bakkenett kanaler?,,INCOMPLETE (SOME),
Are you sure to remove this entry?,'','',Er du sikker på at du vil fjerne denne oppføringen?,'',INCOMPLETE (ALL),
Are you sure to restore all deleted images,,,Er du sikker på å gjenopprette alle slettede operativsystem,,SOLITARY,
Are you sure you want to activate this network configuration?\n\n,'','',Er du sikker på at du vil aktivere denne nettverkskonfigurasjonen?\n\n,'',INCOMPLETE (ALL),
Are you sure you want to delete\nthe following backup:\n,'','',Er du sikker på at du vil slette\nfølgende sikkerhetskopi:\n,'',INCOMPLETE (ALL),
Are you sure you want to exit this wizard?,'','',Er du sikker på at du vil avslutte denne veiviseren?,'',INCOMPLETE (ALL),
Are you sure you want to restart your network interfaces?\n\n,'','',Er du sikker på at du vil starte nettverket på nytt?\n\n,'',INCOMPLETE (ALL),
Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,'','',Er du sikker på at du vil gjenopprette\nfølgende sikkerhetskopi: \n%s\nMottakeren vil starte på nytt etter at sikkerhetskopieringen er gjenopprettet!,'',INCOMPLETE (ALL),
Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,'','',Er du sikker på at du vil gjenopprette sikkerhetskopien?\nDin mottaker vil starte på nytt når sikkerhetskopien er gjenopprettet!,'',INCOMPLETE (ALL),
Argentina,'',,Argentina,'',INCOMPLETE (SOME),
Armenia,'',,Armenia,'',INCOMPLETE (SOME),
Artist,'','',Artist,'',INCOMPLETE (ALL),
Arts/Culture,'','',Kunst/Kultur,'',INCOMPLETE (ALL),
Aruba,'',,Aruba,'',INCOMPLETE (SOME),
As defined by the skin,,,Som definert av utseende,,SOLITARY,
Ask user,'','',Spør bruker,'',INCOMPLETE (ALL),
Aspect ratio,'','',Bildeforhold,'',INCOMPLETE (ALL),
Assigned CAIds:,'','',Tildelte CAId:,'',INCOMPLETE (ALL),
Assigned services/provider:,'','',Tildelte kanaler/distributører:,'',INCOMPLETE (ALL),
At beginning,,,Ved begynnelsen,,SOLITARY,
At end,,,Ved slutten,,SOLITARY,
"Attention, this is repeated timer!\n",,,"Obs, dette er repetert timer!\n",'',INCOMPLETE (SOME),
"Attention, this is repeated timer!\nWhat do you want to do?",,,"Obs, dette er repetert timer!\nHva vil du gjøre?",,SOLITARY,
Audio,'',,Lyd,'',INCOMPLETE (SOME),
Audio / Video,,,Hoved innstilling,,SOLITARY,
Audio PID,'','',Lyd PID,'',INCOMPLETE (ALL),
"Audio PID%s, codec & lang",,,"Lyd-PID%s, codec & språk",,SOLITARY,
"Audio PID, codec & lang",,,"Lyd-PID, codec & språk",,SOLITARY,
Audio auto volume level,,,Auto lydvolum nivå,,SOLITARY,
Audio language selection 1,'','',Språkvalg 1,'',INCOMPLETE (ALL),
Audio language selection 2,'','',Språkvalg 2,'',INCOMPLETE (ALL),
Audio language selection 3,'','',Språkvalg 3,'',INCOMPLETE (ALL),
Audio language selection 4,'','',Språkvalg 4,'',INCOMPLETE (ALL),
Audio options...,'','',Lyd valg...,'',INCOMPLETE (ALL),
Audio plugins,,,Lyd utvidelser,,SOLITARY,
Audio track (%s) format,,'',Lydspor (%s) format,'',INCOMPLETE (SOME),
Audio track (%s) language,,'',Lydspor (%s) språk,'',INCOMPLETE (SOME),
Audio volume step size,'',,Lydstyrketrinn,,INCOMPLETE (SOME),
Australia,'',,Australia,'',INCOMPLETE (SOME),
Australian,'',,Australsk,'',INCOMPLETE (SOME),
Austria,'',,Østerrike,'',INCOMPLETE (SOME),
Author: ,'','',Forfatter: ,'',INCOMPLETE (ALL),
Authoring mode,'','',Administrator modus,'',INCOMPLETE (ALL),
Auto,'','',Auto,'',INCOMPLETE (ALL),
Auto Diseqc,,,Auto DiSEqC,'',INCOMPLETE (SOME),
Auto EXIF Orientation rotation/flipping,,,Auto EXIF (bildedata) orientering/rotering,'',INCOMPLETE (SOME),
Auto chapter split every ? minutes (0=never),'','',Auto oppdeling hvert ? minutter (0=aldri),'',INCOMPLETE (ALL),
Auto flesh,'','',Auto rens,'',INCOMPLETE (ALL),
Auto focus,'','',Auto fokusering,'',INCOMPLETE (ALL),
Auto focus commencing ...,'','',Auto fokusering begynner ...,'',INCOMPLETE (ALL),
Auto language selection,'','',Språk innstilling,,INCOMPLETE (SOME),
Auto play blu-ray file,,,Spill av automatisk blu-ray fil,'',INCOMPLETE (SOME),
Auto scart switching,'','',Auto scart bytte,'',INCOMPLETE (ALL),
Autoinstalling Completed,,,Autoinstallasjonen er ferdig,,SOLITARY,
Autoinstalling please wait for packages being updated,,,"Installerer, vennligst vent til pakkene blir oppdatert",,SOLITARY,
Automatic,'','',Automatisk,'',INCOMPLETE (ALL),
Automatic Scan,'','',Automatisk søk,'',INCOMPLETE (ALL),
Automatic bookmarks,,,Huskeliste,,SOLITARY,
Automatic scan,'','',Automatisk søk,'',INCOMPLETE (ALL),
Automatically start timeshift after,'','',Start automatisk timeskift etter,'',INCOMPLETE (ALL),
Automatically turn on external subtitles,'','',Ekstern undertekst automatisk på,'',INCOMPLETE (ALL),
Available format variables,'','',Tilgjengelige formater,'',INCOMPLETE (ALL),
Available locales are:,'',,Tilgjengelige nasjoner er:,'',INCOMPLETE (SOME),
Azerbaijan,'',,Aserbajdsjan,'',INCOMPLETE (SOME),
B,'','',B,'',INCOMPLETE (ALL),
BER,,,BER,,SOLITARY,
BER:,'',,Signalfeil (BER):,'',INCOMPLETE (SOME),
BT 2020 CL,'',,BT 2020 CL,'',INCOMPLETE (SOME),
BT 2020 NCL,'',,BT 2020 NCL,'',INCOMPLETE (SOME),
BT 709,'',,BT 709,'',INCOMPLETE (SOME),
Back,'','',Tilbake,'',INCOMPLETE (ALL),
Background,'','',Bakgrunn,'',INCOMPLETE (ALL),
