msgid,openatv,openhdf,openpli,openvix,STATUS
%.1f° E,,,%.1f° O,,SOLITARY
%.1f° W,,,%.1f° W,,SOLITARY
%.2f GB,%.2f GB,,%.2f GB,%.2f GB,UNCHANGED (SOME)
%02d:%02d,%02d:%02d,,%02d:%02d,,UNCHANGED (SOME)
%03d MB,%03d MB,,%03d MB,%03d MB,UNCHANGED (SOME)
%2.1f sec,%2.1f sec,,%2.1f sec,%2.1f sec,UNCHANGED (SOME)
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME)
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME)
%3.01f dB,,,%3.01f dB,%3.01f dB,UNCHANGED (SOME)
%A %d %B,%A %d %B,,%A %d %B,%A %d %B,UNCHANGED (SOME)
%A %e %B,,%A %e %B,%A %e %B,,UNCHANGED (SOME)
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME)
%H:%M,%H:%M,%H:%M,%H:%M,%H:%M,UNCHANGED (ALL)
%a %e %B %Y,,%a %e %B %Y,%a %e %B %Y,,UNCHANGED (SOME)
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME)
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,%a %e/%m  %-H:%M,,UNCHANGED (SOME)
%d B,,,%d B,%d B,UNCHANGED (SOME)
%d GB,%d GB,%d GB,%d GB,%d GB,UNCHANGED (ALL)
%d MB,%d MB,%d MB,%d MB,%d MB,UNCHANGED (ALL)
%d fps,,,%d fps,,SOLITARY
%d kB,%d kB,%d kB,%d kB,%d kB,UNCHANGED (ALL)
%d kB/s,,,%d kB/s,,SOLITARY
%d min,%d min,%d min,%d min,%d min,UNCHANGED (ALL)
%d minutes,%d minuten,%d minuten,%d minuten,%d minuten,CONSISTENT (ALL)
%d ms,%d ms,,%d ms,%d ms,UNCHANGED (SOME)
%d sec,%d sec,,%d seconde,,MISMATCH (SOME)
%d-%m,%d-%m,,%d-%m,,UNCHANGED (SOME)
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY
%d.%03d GB,%d.%03d GB,,%d.%03d GB,%d.%03d GB,UNCHANGED (SOME)
%d.%B %Y,,%d-%m-%Y,%d-%m-%Y,,CONSISTENT (SOME)
%d.%d,,,%d.%d,,SOLITARY
%d.%d.%d,,,%d.%d.%d,,SOLITARY
%d:%02d,,,%d:%02d,,SOLITARY
%k:%M %e/%m,,%k:%M %e/%m,%k:%M %e/%m,,UNCHANGED (SOME)
%s\nDo you still want to flash image\n%s?,,,%s\nWilt u toch een image flashen?\n%s,,SOLITARY
%s\nPress ok for multiboot selection\nPress exit to close,%s\nDruk op OK voor de multiboot selectie\nDruk op EXIT om af te sluiten,,%s\nDruk ok om multiboot te kiezen\nDruk exit om af te sluiten,,MISMATCH (SOME)
%s %d.%d,,,%s %d.%d,,SOLITARY
%s %s free disk space,,,%s %s beschikbare schijfruimte,,SOLITARY
%s (%s)\n,%s (%s)\n,%s (%s)\n,%s (%s)\n,%s (%s)\n,UNCHANGED (ALL)
%s imported from fallback tuner,,,%s geïmporteerd vanaf de Fallback tuner,,SOLITARY
%s is no longer used. Should it be deleted?,%s wordt niet langer gebruikt. Kan deze verwijderd worden?,%s is niet langer in gebruik. Moet het verwijderd worden?,%s wordt niet langer gebruikt. Kan deze verwijderd worden?,%s is niet langer in gebruik. Moet het verwijderd worden?,MISMATCH (ALL)
%s%% Autoinstalling %s,,,%s%% (Auto)Installeert %s,,SOLITARY
%s%d min,%s%d min,%s%d min,%s%d min,,UNCHANGED (SOME)
%s/%s: %s,%s/%s: %s,%s/%s: %s,%s/%s: %s,%s/%s: %s,UNCHANGED (ALL)
%s:%s,,,%s:%s,%s:%s,UNCHANGED (SOME)
(VU+ type),,,(VU+ type),,SOLITARY
(ZAP as PiP),,,(ZAP als PiP),(ZAP als PiP),CONSISTENT (SOME)
(ZAP),,(ZAP),(ZAP),(ZAP),UNCHANGED (SOME)
(activated +%d min),,,(geactiveerd +%d min),,SOLITARY
(empty),(leeg),(leeg),(leeg),(leeg),CONSISTENT (ALL)
(not activated),,,(gedéactiveerd),,SOLITARY
(show optional DVD audio menu),(optioneel DVD audio menu weergeven),(optioneel DVD audiomenu weergeven),(optioneel DVD audio menu weergeven),(optioneel DVD audiomenu weergeven),MISMATCH (ALL)
(unknown),,,(onbekend),(onbekend),CONSISTENT (SOME)
* Only available if more than one interface is active.,* Alleen beschikbaar indien meer dan één interface is geactiveerd.,* Alleen beschikbaar indien meer dan één interface actief is.,* Alleen beschikbaar indien meer dan één interface is geactiveerd.,* Alleen beschikbaar indien meer dan één interface actief is.,MISMATCH (ALL)
-NO SERVICE\n,-GEEN SERVICE\n,,-GEEN ZENDER\n,-GEEN SERVICE\n,MISMATCH (SOME)
-SERVICE ERROR:%d\n,-SERVICE FOUT:%d\n,,-ZENDERFOUT:%d\n,-SERVICE FOUT:%d\n,MISMATCH (SOME)
/s,/s,/s,/s,/s,UNCHANGED (ALL)
0,0,,0,,UNCHANGED (SOME)
1,1,,1,,UNCHANGED (SOME)
1.0,"1,0",1.0,1.0,1.0,MISMATCH (ALL)
1.1,"1,1",1.1,1.1,1.1,MISMATCH (ALL)
1.2,"1,2",1.2,1.2,1.2,MISMATCH (ALL)
10 MB/s,10 MB/s,,10 MB/s,10 MB/s,UNCHANGED (SOME)
100 MB/s,100 MB/s,,100 MB/s,100 MB/s,UNCHANGED (SOME)
10bit,10bit,,10 bit,10bit,MISMATCH (SOME)
12V output,12V uitgang,12V uitgang,12V uitgang,12V uitgang,CONSISTENT (ALL)
12bit,12bit,,12 bit,12bit,MISMATCH (SOME)
13 V,13V,13 V,13V,13 V,MISMATCH (ALL)
16:10,16:10,16:10,16:10,16:10,UNCHANGED (ALL)
16:10 Letterbox,16:10 Letterbox,16:10 letterbox,16:10 Letterbox,16:10 letterbox,MISMATCH (ALL)
16:10 PanScan,16:10 PanScan,16:10 pan & scan,16:10 PanScan,16:10 pan & scan,MISMATCH (ALL)
16:9,16:9,16:9,16:9,16:9,UNCHANGED (ALL)
16:9 Letterbox,16:9 Letterbox,16:9 Letterbox,16:9 Letterbox,16:9 Letterbox,UNCHANGED (ALL)
16:9 always,16:9 Altijd,Altijd 16:9,Altijd 16:9,Altijd 16:9,MISMATCH (ALL)
16K,,,16K,16K,UNCHANGED (SOME)
18 V,18 V,18 V,18V,18 V,MISMATCH (ALL)
2,2,,2,,UNCHANGED (SOME)
20 MB/s,20 MB/s,,20 MB/s,20 MB/s,UNCHANGED (SOME)
23.976,23.976,23.976,23.976,23.976,UNCHANGED (ALL)
24,24,24,24,24,UNCHANGED (ALL)
25,25,25,25,25,UNCHANGED (ALL)
29.97,29.97,29.97,29.97,29.97,UNCHANGED (ALL)
3,3,,3,3,UNCHANGED (SOME)
30,30,30,30,30,UNCHANGED (ALL)
3D surround,,,3D surround,3D surround,UNCHANGED (SOME)
3D surround softlimiter,,,3D surround begrenzer,,SOLITARY
3D surround speaker position,,,3D surround luidsprekerpositie,3D surround luidspreker positie,MISMATCH (SOME)
3d mode,3d modus,,3d modus,,CONSISTENT (SOME)
4,4,,4,4,UNCHANGED (SOME)
420,420,,420,420,UNCHANGED (SOME)
422,422,,422,422,UNCHANGED (SOME)
444,444,,444,444,UNCHANGED (SOME)
4:3,4:3,4:3,4:3,4:3,UNCHANGED (ALL)
4:3 Letterbox,4:3 Letterbox,4:3 letterbox,4:3 Letterbox,4:3 letterbox,MISMATCH (ALL)
4:3 PanScan,4:3 PanScan,4:3 pan & scan,4:3 PanScan,4:3 pan & scan,MISMATCH (ALL)
4K,,,4K,4K,UNCHANGED (SOME)
5,5,,5,5,UNCHANGED (SOME)
50 MB/s,50 MB/s,,50 MB/s,50 MB/s,UNCHANGED (SOME)
6,6,,6,6,UNCHANGED (SOME)
7,7,,7,,UNCHANGED (SOME)
8,8,,8,,UNCHANGED (SOME)
8K,,,8K,8K,UNCHANGED (SOME)
8bit,8bit,,8 bit,8bit,MISMATCH (SOME)
9,9,,9,,UNCHANGED (SOME)
: 0000 - default (disabled),,,:0000 - standaard (uitgeschakeld),,SOLITARY
<Current movielist location>,<Huidige opnamelijst locatie>,<Huidige lokatie opnamelijst>,<Huidige opnamelijstlocatie>,<Huidige lokatie opnamelijst>,MISMATCH (ALL)
<Default movie location>,<Standaard opnamelocatie>,<Standaard lokatie voor opnames>,<Standaard opnamelocatie>,<Standaard lokatie voor opnames>,MISMATCH (ALL)
<Last timer location>,<Laatste timer locatie>,<Laatste timer lokatie>,<Laatste timerlocatie>,<Laatste timer lokatie>,MISMATCH (ALL)
<unknown>,<onbekend>,<onbekend>,<onbekend>,<onbekend>,CONSISTENT (ALL)
=NO STREAM\n,=GEEN STREAM\n,,=GEEN STREAM\n,=GEEN STREAM\n,CONSISTENT (SOME)
??,??,??,??,??,UNCHANGED (ALL)
A,A,A,A,A,UNCHANGED (ALL)
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,Een configuratiebestand (%s) is sinds de installatie gewijzigd.\nWilt u uw aanpassingen behouden?,Een configuratiebestand (%s) is veranderd nadat het geïnstalleerd is.\nWilt u die veranderingen behouden?,Een configuratiebestand (%s) is sinds de installatie gewijzigd.\nWilt u de aanpassingen behouden?,Een configuratiebestand (%s) is veranderd nadat het geïnstalleerd is.\nWilt u die veranderingen behouden?,MISMATCH (ALL)
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,Een configuratiebestand (%s) is sinds de installatie gewijzigd.\nWilt u uw versie behouden?,Een configuratiebestand (%s) is sinds de installatie gewijzigd.\nWilt u uw versie behouden?,Een configuratiebestand (%s) is sinds de installatie gewijzigd.\nWilt u uw versie behouden?,Een configuratiebestand (%s) is sinds de installatie gewijzigd.\nWilt u uw versie behouden?,CONSISTENT (ALL)
A file from media is in use!,,,Een bestand op uw (opslag)medium is in gebruik!,,SOLITARY
A finished record timer wants to set your\nreceiver to standby. Do that now?,,,Een opname die gereed is wil de ontvanger\nin stand-by zetten. Akkoord?,,SOLITARY
A finished record timer wants to shut down\nyour receiver. Shutdown now?,,,Een opname die gereed is wil de ontvanger\nuitschakelen. Nu afsluiten?,,SOLITARY
A graphical EPG for all services of a specific bouquet,,,Grafische EPG voor alle zenders uit een specifiek bouquet,,SOLITARY
A record has been started:\n%s,,,Een opname is gestart:\n%s,,SOLITARY
A recording is currently running on the selected tuner. Please select a different tuner or stop the recording and try again.,,,Er loopt een opname op de geselecteerde tuner. Probeer een andere tuner of overweeg de opname te onderbreken en het opnieuw te proberen.,,SOLITARY
A recording is currently running.\nWhat do you want to do?,Bezig met opnemen.\nWat wilt u doen?,Bezig met opnemen.\nWat wilt u doen?,Bezig met opnemen.\nWat wilt u doen?,,CONSISTENT (SOME)
A recording is currently running. Please stop the recording before trying to scan.,Een opname is nu bezig. Stop de opname voor u gaat zoeken.,Een opname is nu bezig. Stop de opname voor u gaat scannen.,Een opname is nu bezig. Stop de opname voor u gaat scannen.,Een opname is nu bezig. Stop de opname voor u gaat scannen.,MISMATCH (ALL)
A recording is currently running. Please stop the recording before trying to start a testing DiSEqC.,,,Er is momenteel een opname aktief. Stop de opname alvorens een diseqc test te starten.,,SOLITARY
A required tool (%s) was not found.,Het benodigde hulpmiddel (%s) is niet gevonden.,Het benodigde hulpmiddel (%s) is niet gevonden.,Een noodzakelijke tool (%s) is niet gevonden.,Een benodigd hulpmiddel (%s) is niet gevonden.,MISMATCH (ALL)
A search for available updates is currently in progress.,Bezig met zoeken naar updates.,Bezig met zoeken naar updates.,Bezig met zoeken naar updates.,Bezig met zoeken naar updates.,CONSISTENT (ALL)
A second configured interface has been found.\n\nDo you want to disable the second network interface?,Er is een tweede geconfigureerde interface gevonden.\n\nWilt u de tweede netwerkinterface uitschakelen?,Er is een tweede geconfigureerde interface gevonden.\n\nWilt u de tweede netwerk interface uitschakelen?,Er is een tweede geconfigureerde interface gevonden.\n\nWilt u de tweede netwerkinterface uitschakelen?,Er is een tweede geconfigureerde interface gevonden.\n\nWilt u de tweede netwerk interface uitschakelen?,MISMATCH (ALL)
A sleep timer wants to set your\nreceiver to standby. Do that now?,,,Een slaaptimer wil de ontvanger\nin stand-by zetten. Akkoord?,,SOLITARY
A sleep timer wants to shut down\nyour receiver. Shutdown now?,,,Een slaaptimer wilt de ontvanger\nuitschakelen. Nu uitschakelen?,,SOLITARY
A small overview of the available icon states and actions.,Een klein overzicht van gebruikte icon-statussen en acties.,Een klein overzicht van gebruikte icoon-statussen en acties.,Een beperkt overzicht van beschikbare icon-statussen en acties.,Een klein overzicht van gebruikte icoon-statussen en acties.,MISMATCH (ALL)
A timer failed to record!\nDisable TV and try again?\n,Timer opname mislukt!\nVerander van zender en probeer het opnieuw.\n,Timer opname mislukt!\nVerander van zender en probeer het opnieuw.\n,Timer opname mislukt!\nVerander van zender en probeer het opnieuw.\n,Timer opname mislukt!\nVerander van zender en probeer het opnieuw.\n,CONSISTENT (ALL)
A/V settings,,A/V instellingen,A/V instellingen,,CONSISTENT (SOME)
AAC downmix,AAC downmix,AAC downmix,AAC downmix,AAC downmix,UNCHANGED (ALL)
AC3 downmix,AC3 downmix,,AC3 downmix,AC3 downmix,UNCHANGED (SOME)
ACQUIRING TSID/ONID,,ACQUIRING TSID/ONID,VERKRIJG TSID/ONID,VERKRIJGT TSID/ONID,MISMATCH (SOME)
AGC:,,,AGC:,AGC:,UNCHANGED (SOME)
ASS File,,,ASS bestand,,SOLITARY
ASS file,,,ASS bestand,ASS-bestand,MISMATCH (SOME)
ATSC,ATSC,,ATSC,ATSC,UNCHANGED (SOME)
ATSC provider,ATSC provider,,ATSC aanbieder,ATSC provider,MISMATCH (SOME)
Abort,Afbreken,Afbreken,Afbreken,Afbreken,CONSISTENT (ALL)
Abort alternatives edit,,,Sluit de bewerking van de alternatieven af,Alternatieven bewerken afsluiten,MISMATCH (SOME)
Abort bouquet edit,,,Bouquet bewerken afsluiten,Favorietenlijst bewerken afsluiten,MISMATCH (SOME)
Abort favourites edit,,,Favorieten bewerken afsluiten,Favorieten bewerken afsluiten,CONSISTENT (SOME)
About,Uw ontvanger,Info,Uw ontvanger,Uw ontvanger,MISMATCH (ALL)
Accesspoint:,Toegangspunt:,Toegangspunt:,Accesspoint:,Toegangspunt:,MISMATCH (ALL)
Activate HbbTV (Redbutton),Activeer HbbTV (Rode-knop),,Activeer HBBTV (Rode toets),,MISMATCH (SOME)
Activate Picture in Picture,Activeer Picture in Picture,Activeer Picture In Picture,Activeer Picture In Picture,Activeer Picture In Picture,MISMATCH (ALL)
Activate current configuration,Activeer de huidige configuratie,Activeer huidige configuratie,Activeer de huidige configuratie,Activeer huidige configuratie,MISMATCH (ALL)
Activate network settings,Activeer de netwerkinstellingen,Activeer netwerkinstellingen,Activeer de netwerkinstellingen,Activeer netwerkinstellingen,MISMATCH (ALL)
Activate the configured network settings.,Activeer de geconfigureerde netwerkinstellingen.,Aktiveer de gekozen netwerk instellingen.,Activeer de geconfigureerde netwerkinstellingen.,Activeer de gekozen netwerk instellingen.,MISMATCH (ALL)
Activate timeshift End,Beëindig de Timeshift,,Beëindig de timeshift,,MISMATCH (SOME)
Activate timeshift end and pause,Beëindig de Timestift en pauzeer,,Beëindig de timestift en pauzeer,Acitveer timeshift einde en pauze,MISMATCH (SOME)
Adapter settings,Adapter instellingen,Adapter instellingen,Adapterinstellingen,Adapter instellingen,MISMATCH (ALL)
Add,Toevoegen,Voeg toe,Voeg toe,Voeg toe,MISMATCH (ALL)
Add a mark,Plaats een markering,Plaats markering,Plaats een markering,Plaats markering,MISMATCH (ALL)
Add a nameserver entry,Naamserver (DNS) toevoegen,Voeg een nameserver toe,Voeg een nameserver toe,Voeg een nameserver toe,MISMATCH (ALL)
Add a new title,Voeg een nieuwe titel toe,Voeg een nieuwe titel toe,Voeg een nieuwe titel toe,Voeg een nieuwe titel toe,CONSISTENT (ALL)
Add alternatives,,,Voeg alternatieven toe,Alternatieven toevoegen,MISMATCH (SOME)
Add bookmark,Bookmark toevoegen,Voeg een bladwijzer toe,Maak markeerpunt,Voeg een bladwijzer toe,MISMATCH (ALL)
Add bouquet,,,Voeg een bouquet toe,Favorietenlijst toevoegen,MISMATCH (SOME)
Add bouquet to parental protection,,,Voeg dit bouquet toe aan het kinderslot,Favorietenlijst aan kinderslot toevoegen,MISMATCH (SOME)
Add directory to playlist,Map aan afspeellijst toevoegen,Map aan afspeellijst toevoegen,Voeg de map aan de afspeellijst toe,Map aan afspeellijst toevoegen,MISMATCH (ALL)
Add file to playlist,Bestand toevoegen aan de afspeellijst,Voeg bestand toe aan afspeellijst,Voeg het bestand toe aan de afspeellijst,Voeg bestand toe aan afspeellijst,MISMATCH (ALL)
Add files to playlist,Bestanden toevoegen aan de afspeellijst,Voeg bestanden aan de afspeellijst toe,Voeg de bestanden toe aan de afspeellijst,Voeg bestanden aan de afspeellijst toe,MISMATCH (ALL)
Add marker,,,Voeg een markeerpunt in,Markeerpunt invoegen,MISMATCH (SOME)
Add provider,Provider toevoegen,Voeg provider toe,Provider toevoegen,Voeg provider toe,MISMATCH (ALL)
Add recording (enter recording duration),Voeg een opname toe (voer de opnameduur in),Start opname en voer opnameduur in,Voeg een opname toe (voer de opnameduur in),Start opname en voer opnameduur in,MISMATCH (ALL)
Add recording (enter recording endtime),Voeg een opname toe (voer de eindtijd in),Start opname en voer de eindtijd in,Voeg een opname toe (voer de eindtijd in),Start opname en voer de eindtijd in,MISMATCH (ALL)
Add recording (indefinitely),Voeg een opname toe (doorlopend),Start oneindige opname,Voeg een opname toe (doorlopend),Start oneindige opname,MISMATCH (ALL)
Add recording (stop after current event),Voeg een opname toe (stop na huidige uitzending),Start opname en stop na huidige uitzending,Voeg een opname toe (stop na huidige uitzending),Start opname en stop na huidige uitzending,MISMATCH (ALL)
Add service,Zender toevoegen,Voeg zender toe,Voeg een zender toe,Voeg zender toe,MISMATCH (ALL)
Add service to bouquet,,,Deze zender toevoegen aan een bouquet,Zender toevoegen aan favorietenlijst,MISMATCH (SOME)
Add service to favourites,,,Zender toevoegen aan favorieten,Zender toevoegen aan favorieten,CONSISTENT (SOME)
Add services to this bouquet?,,,Deze zender(s) toevoegen aan dit bouquet?,Zenders toevoegen aan deze favorietenlijst?,MISMATCH (SOME)
Add timer,Timer toevoegen,Timer,Timer toevoegen,Timer,MISMATCH (ALL)
Add title,Voeg titel toe,Voeg titel toe,Voeg titel toe,Voeg titel toe,CONSISTENT (ALL)
Add to bouquet,,Voeg aan favorietenlijst  toe,Voeg toe aan een bouquet,Voeg aan favorietenlijst  toe,MISMATCH (SOME)
Add to favourites,,Voeg aan favorieten toe,Voeg toe aan favorieten,Voeg aan favorieten toe,MISMATCH (SOME)
Add to parental protection,,,Zender op kinderslot zetten,Zender achter kinderslot zetten,MISMATCH (SOME)
Add/remove change timer for current event,Timer toevoegen/verwijderen/wijzigen voor huidig programma,,Voeg een timerwijziging voor het huidige programma toe of verwijder deze,,MISMATCH (SOME)
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move the dish from one satellite to another satellite.,Aanvullende motoropties geven de mogelijkheid de specifieke eigenschappen van uw motor in te stellen. Daardoor weet Enigma2 hoe lang het duurt de schotel naar een andere satelliet te draaien.,,Met aanvullende motoropties kunt u details van de specificaties uw motor invoeren waarmee Enigma kan bepalen hoe lang het duurt om de schotel van de ene naar de andere satelliet te verplaatsen.,Aanvullende motoropties geven de mogelijkheid de specifieke eigenschappen van uw motor in te stellen.,MISMATCH (SOME)
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move to another satellite.,Aanvullende motoropties geven de mogelijkheid de specifieke eigenschappen van uw motor in te stellen. Daardoor weet Enigma2 hoe lang het duurt naar een andere satelliet te draaien.,,Met aanvullende motoropties kunt u details van de specificaties van uw motor invoeren waarmee Enigma kan bepalen hoe lang het duurt om naar een andere satelliet te switchen.,Aanvullende motoropties geven de mogelijkheid de specifieke eigenschappen van uw motor in te stellen. Daardoor weet Enigma2 hoe lang het duurt naar een andere satelliet te draaien.,MISMATCH (SOME)
Adjust 3D settings,3D instellingen aanpassen,,3D instellingen aanpassen,,CONSISTENT (SOME)
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.","Wijzig de kleuren zodanig dat alle tinten te onderscheiden zijn, maar wel zo verzadigd mogelijk zijn. Zodra het resultaat u bevalt, drukt u op OK om dit menu af te sluiten of selecteert u een ander testscherm d.m.v. de nummerknoppen.","Wijzig de kleuren zodanig dat alle tinten te onderscheiden, maar wel zo verzadigd mogelijk zijn. Zodra het resultaat u bevalt, drukt u op \""OK\"" om dit menu af te sluiten of u selecteert met de nummertoetsen een ander testscherm.","Wijzig de kleuren zodanig dat alle tinten te onderscheiden zijn, maar wel zo verzadigd mogelijk zijn. Zodra het resultaat u bevalt, drukt u op Ok om dit menu af te sluiten of selecteert u een ander testscherm d.m.v. de nummertoetsen.","Wijzig de kleuren zodanig dat alle tinten te onderscheiden, maar wel zo verzadigd mogelijk zijn. Zodra het resultaat u bevalt, drukt u op \""OK\"" om dit menu af te sluiten of u selecteert met de nummertoetsen een ander testscherm.",MISMATCH (ALL)
Advanced,Geavanceerd,,Geavanceerd,Geavanceerd,CONSISTENT (SOME)
Advanced options,Geavanceerde opties,Geavanceerde opties,Geavanceerde opties,Geavanceerde opties,CONSISTENT (ALL)
Advanced options and settings.,,,Geavanceerde opties en instellingen.,,SOLITARY
Advanced restore,Geavanceerd herstellen,Geavanceerd herstellen,Geavanceerd herstellen,Geavanceerd herstellen,CONSISTENT (ALL)
Advanced software,Geavanceerde software,Geavanceerde software,Geavanceerde software,Geavanceerde software,CONSISTENT (ALL)
Advanced software plugin,Geavanceerde software plug-in,Geavanceerde software plugin,Geavanceerde software plugin,Geavanceerde software plugin,MISMATCH (ALL)
Advanced video enhancement setup,Geavanceerde videoverbeteringsinstellingen,Geavanceerde videoverbeteringsinstellingen ,Geavanceerde videoverbeteringsinstellingen,Geavanceerde videoverbeteringsinstellingen,MISMATCH (ALL)
Advanced video setup,,,Geavanceerde videoinstellingen,,SOLITARY
Afghanistan,Afghanistan,,Afghanistan,Afghanistan,UNCHANGED (SOME)
After event,Na opname,Na opname,Na opname,Na opname,CONSISTENT (ALL)
Aland Islands,Alandseilanden,,Aland eilanden,Aland Islands,MISMATCH (SOME)
Albania,Albanië,,Albanië,Albania,MISMATCH (SOME)
Album,Album,Album,Album,Album,UNCHANGED (ALL)
Algeria,Algerije,,Algerije,Algeria,MISMATCH (SOME)
Alignment of events,Uitlijnen van programma's,,Uitlijnen van gebeurtenissen,Uitlijnen van programma's,MISMATCH (SOME)
Alignment of service names,Uitlijning van zendernaam,,Uitlijnen van services,Uitlijning van kanaalnaam,MISMATCH (SOME)
All,Alles,Alles,Alles,Alles,CONSISTENT (ALL)
All ages,Alle leeftijden,Alle leeftijden,Alle leeftijden,Alle leeftijden,CONSISTENT (ALL)
All frequency,,,Alle frequenties,Alle frequenties,CONSISTENT (SOME)
All satellites 1 (USALS),Alle satellieten 1 (USALS),,Alle satellieten 1 (USALS),Alle satellieten 1 (USALS),CONSISTENT (SOME)
All satellites 2 (USALS),Alle satellieten 2 (USALS),,Alle satellieten 2 (USALS),Alle satellieten 2 (USALS),CONSISTENT (SOME)
All satellites 3 (USALS),Alle satellieten 3 (USALS),,Alle satellieten 3 (USALS),Alle satellieten 3 (USALS),CONSISTENT (SOME)
All satellites 4 (USALS),Alle satellieten 4 (USALS),,Alle satellieten 4 (USALS),Alle satellieten 4 (USALS),CONSISTENT (SOME)
All services provider,Alle zender providers,,Alle kanalen per provider,Alle kanalen provider,MISMATCH (SOME)
All slots,,,Alle slots,Alle slots,CONSISTENT (SOME)
Allocate,Toewijzen,Wijs toe,Toewijzen,Wijs toe,MISMATCH (ALL)
Allocate a number to the physical LNB you are configuring. You will be able to select this LNB again for other satellites (e.g. motorised dishes) to save setting up the same LNB multiple times.,Geef een nummer aan de fysieke LNB die u configureert. U kunt deze LNB weer toewijzen aan andere satellieten (b.v. bij een gemotoriseerde schotel) en bespaart u het wederom instellen van dezelfde LNB.,,Wijs een nummer toe aan de fysieke LNB die u aan het configureren bent. U kunt deze LNB opnieuw selecteren voor andere satellieten (bijv. gemotoriseerde schotels) zodat instellingen van dezelfde LNB meerdere keren kunnen worden opgeslagen.,Geef een nummer aan de fysieke LNB die u configureert. U kunt deze LNB weer toewijzen aan andere satellieten (b.v. bij een gemotoriseerde schotel) en bespaart u het wederom instellen van dezelfde LNB.,MISMATCH (SOME)
Allocate unused memory index,Wijs niet gebruikte geheugen index toe,Wijs niet gebruikte geheugen index toe,Wijs de ongebruikte memory index toe,Wijs niet gebruikte geheugen index toe,MISMATCH (ALL)
Allow 10bit,10bit toestaan,,Sta 10bit toe,Staat 10bit toe,MISMATCH (SOME)
Allow 12bit,12bit toestaan,,Sta 12bit toe,Staat 12bit toe,MISMATCH (SOME)
Allow quit movieplayer with exit,Verlaat de mediaspeler met de EXIT-knop,,Verlaat de movieplayer d.m.v. de 'exit' toets,,MISMATCH (SOME)
Allow quitting movieplayer with exit,,,Verlaat de movieplayer d.m.v. de 'exit' toets,,SOLITARY
